TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,
1617velv-txamld1,3781,Pi-Rho Maniacs,1,10,160,90,5,,1.00,35.9,33.7,
1617velv-txamld1,11503,ViperBots HyperFang,2,8,180,95,5,,0.80,46.0,41.9,
1617velv-txamld1,6209,ViperBots Venom,3,8,135,100,5,,0.80,37.6,35.5,
1617velv-txamld1,8424,E-Cubed,4,6,160,100,5,,0.60,26.1,27.3,
1617velv-txamld1,7079,Faltech,5,6,155,95,5,,0.60,35.3,32.3,
1617velv-txamld1,4545,ViperBots Ouroboros,6,6,150,75,5,,0.60,25.2,26.2,
1617velv-txamld1,4798,Robuffs Dough Boys,7,4,175,95,5,,0.40,26.3,27.0,
1617velv-txamld1,5764,Blue Sabers,8,4,140,70,5,,0.40,23.4,22.8,
1617velv-txamld1,12126,Cedar Creek EagleBots,9,4,135,90,5,,0.40,15.7,16.5,
1617velv-txamld1,4027,Legacy,10,2,170,75,5,,0.20,14.7,17.5,
1617velv-txamld1,4546,ViperBots SnakeByte,11,2,150,75,5,,0.20,20.6,20.1,
1617velv-txamld1,7653,TechRangers,12,0,110,30,5,,0.00,-4.5,1.3,
