TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,
1617velv-nyjd2,9372,Standard Model,1,10,120,130,5,WC,1.00,54.8,50.2,
1617velv-nyjd2,8721,Mighty Mechanics (FHRL),2,8,155,100,5,FC,0.80,51.4,42.7,
1617velv-nyjd2,9371,General Relativity,3,8,145,95,5,SC,0.80,27.0,26.5,
1617velv-nyjd2,4785,Anonymous Autonomous,4,8,65,100,5,F1,0.80,24.0,24.7,
1617velv-nyjd2,11942,OctoPi,5,6,105,75,5,SC,0.60,10.1,13.1,
1617velv-nyjd2,6051,Quantum Mechanics,6,6,95,105,5,W1,0.60,58.0,49.5,
1617velv-nyjd2,10675,RoboRangers,7,6,90,105,5,,0.60,18.0,19.7,
1617velv-nyjd2,4784,Tetricons,8,6,75,85,5,S1,0.60,26.9,24.6,
1617velv-nyjd2,4137,IslandBots,9,4,175,80,5,S1,0.40,46.3,40.0,
1617velv-nyjd2,5718,BestAlternative,10,4,170,95,5,,0.40,31.1,28.3,
1617velv-nyjd2,10322,Shark Byte,11,4,115,100,5,,0.40,21.7,22.8,
1617velv-nyjd2,11981,YOF-Team Hidary,12,4,100,65,5,,0.40,12.3,13.9,
1617velv-nyjd2,12178,Pandomonium,13,4,80,50,5,,0.40,-3.3,2.3,
1617velv-nyjd2,4783,Dynamic,14,4,55,90,5,,0.40,7.0,11.8,
1617velv-nyjd2,9385,Team Leviathan,15,4,35,60,5,,0.40,5.4,6.9,
1617velv-nyjd2,8088,Team Cephalopods,16,2,105,130,5,,0.20,23.6,21.9,
1617velv-nyjd2,6496,SEP Bota-Bing Bota-Bot,17,2,65,50,5,,0.20,-3.4,1.5,
1617velv-nyjd2,11184,Obsidian Fortress,18,2,60,95,5,,0.20,6.6,9.5,
1617velv-nyjd2,4995,Titanium Tigers,19,2,60,80,5,,0.20,-7.5,-0.0,
