TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,
1617velv-flpbl1b,11800,TechGarage5,1,10,66,56,5,,1.00,31.8,29.0,
1617velv-flpbl1b,11798,TechGarage3,2,8,63,60,6,,0.67,21.6,19.8,
1617velv-flpbl1b,11596,Cuda,3,8,55,56,5,,0.80,24.4,22.1,
1617velv-flpbl1b,11797,TechGarage2,4,6,71,40,6,,0.50,12.1,12.0,
1617velv-flpbl1b,10746,Tech Garage 6,5,6,70,45,5,,0.60,19.4,17.4,
1617velv-flpbl1b,11599,Westgate 1,6,6,41,40,5,,0.60,7.6,8.7,
1617velv-flpbl1b,11597,Mechanical Owls,7,5,61,41,6,,0.42,2.3,4.1,
1617velv-flpbl1b,11601,Westgate 3,8,5,33,50,5,,0.50,13.2,12.9,
1617velv-flpbl1b,10606,Tech Garage,9,4,87,60,5,,0.40,18.6,18.1,
1617velv-flpbl1b,12249,Minjas,10,4,50,45,5,,0.40,6.8,8.0,
1617velv-flpbl1b,11600,Westgate 2,11,4,33,32,5,,0.40,4.6,5.8,
1617velv-flpbl1b,11605,Cabana 2,12,1,50,20,5,,0.10,2.4,3.3,
1617velv-flpbl1b,11604,Cabana 1,13,1,36,15,5,,0.10,-5.6,-2.4,
