TournamentMatchCode,Match,Result,Red0,Red1,Red2,Blue0,Blue1,Blue2,RTot,BTot,
1617velv-flcw1-Q-1,Q-1,40-5 R,11817,4163,0,7650,516,0,40,5,
1617velv-flcw1-Q-2,Q-2,100-100 T,8908,6324,0,506,499,0,100,100,
1617velv-flcw1-Q-3,Q-3,55-1 R,3123,3101,0,7415,7321,0,55,1,
1617velv-flcw1-Q-4,Q-4,60-70 B,11706,3736,0,409,10345,0,60,70,
1617velv-flcw1-Q-5,Q-5,60-10 R,3101,7650,0,499,6324,0,60,10,
1617velv-flcw1-Q-6,Q-6,34-70 B,11706,3123,0,8908,516,0,34,70,
1617velv-flcw1-Q-7,Q-7,12-60 B,3736,7415,0,506,11817,0,12,60,
1617velv-flcw1-Q-8,Q-8,80-33 R,10345,7321,0,409,4163,0,80,33,
1617velv-flcw1-Q-9,Q-9,39-16 R,7415,11706,0,7650,6324,0,39,16,
1617velv-flcw1-Q-10,Q-10,17-70 B,4163,499,0,3736,3123,0,17,70,
1617velv-flcw1-Q-11,Q-11,50-105 B,7321,506,0,10345,11817,0,50,105,
1617velv-flcw1-Q-12,Q-12,70-125 B,409,516,0,3101,8908,0,70,125,
1617velv-flcw1-Q-13,Q-13,95-20 R,10345,506,0,3123,7650,0,95,20,
1617velv-flcw1-Q-14,Q-14,100-15 R,516,3736,0,6324,7321,0,100,15,
1617velv-flcw1-Q-15,Q-15,100-32 R,409,8908,0,7415,4163,0,100,32,
1617velv-flcw1-Q-16,Q-16,60-27 R,3101,499,0,11817,11706,0,60,27,
1617velv-flcw1-Q-17,Q-17,95-10 R,8908,7650,0,7321,3736,0,95,10,
1617velv-flcw1-Q-18,Q-18,71-40 R,506,4163,0,11706,3101,0,71,40,
1617velv-flcw1-Q-19,Q-19,25-30 B,11817,6324,0,409,3123,0,25,30,
1617velv-flcw1-Q-20,Q-20,65-30 R,10345,7415,0,516,499,0,65,30,
