TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,
1617velv-flpbl1c,9177,RoboScots,1,12,148,80,6,,1.00,48.4,43.1,
1617velv-flpbl1c,9497,GEAR GRINDER,2,10,97,75,5,,1.00,21.6,22.0,
1617velv-flpbl1c,5257,Eagles Robotics Xperience,3,6,173,75,5,,0.60,39.7,34.4,
1617velv-flpbl1c,10206,360 Degrees,4,6,144,70,6,,0.50,18.9,19.4,
1617velv-flpbl1c,7625,Otus,5,6,118,65,5,,0.60,17.3,17.4,
1617velv-flpbl1c,6568,Jedi Knights,6,6,110,55,5,,0.60,9.8,11.5,
1617velv-flpbl1c,8551,Relentless Robotics,7,4,145,45,5,,0.40,3.9,8.7,
1617velv-flpbl1c,5158,T.I.T.A.N.S.,8,4,128,80,5,,0.40,22.2,20.9,
1617velv-flpbl1c,10743,TechGarage 3,9,4,118,55,5,,0.40,25.0,21.9,
1617velv-flpbl1c,10688,ATL Eagles Robotics,10,4,98,50,5,,0.40,7.4,9.0,
1617velv-flpbl1c,10744,TechGarage 4,11,4,91,55,5,,0.40,10.7,12.9,
1617velv-flpbl1c,9498,Robo Warriors,12,2,127,75,6,,0.17,11.3,12.8,
1617velv-flpbl1c,11551,Robot Matrix,13,0,75,30,5,,0.00,0.6,3.0,
