TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,
1617velv-flneflmp2,9944,SATURN,1,11,127,110,6,,0.92,57.0,49.7,
1617velv-flneflmp2,10670,Fatherboards,2,9,113,50,6,,0.75,26.6,23.3,
1617velv-flneflmp2,10013,Master Builders,3,7,129,102,6,,0.58,30.2,27.6,
1617velv-flneflmp2,10497,SwampBots,4,7,117,62,6,,0.58,21.4,19.6,
1617velv-flneflmp2,8797,Oakleaf High School,5,7,113,50,6,,0.58,12.7,14.2,
1617velv-flneflmp2,10168,LJH Gator Techs,6,7,104,62,6,,0.58,16.4,16.0,
1617velv-flneflmp2,12102,Patriot Programmers,7,7,70,47,6,,0.58,20.7,17.7,
1617velv-flneflmp2,10385,RoboTech Warriors,8,7,62,47,6,,0.58,5.2,7.8,
1617velv-flneflmp2,10768,Middleburg High School,9,5,127,110,6,,0.42,15.3,16.4,
1617velv-flneflmp2,9938,Baldwin Middle/Senior,10,5,120,50,6,,0.42,11.3,12.3,
1617velv-flneflmp2,10584,Keystone Heights High School,11,5,115,104,6,,0.42,9.7,11.9,
1617velv-flneflmp2,11774,Palatka High School Robo-Panthers,12,5,85,45,6,,0.42,10.6,9.6,
1617velv-flneflmp2,11263,TechnoMancers,13,5,75,50,6,,0.42,-3.9,1.1,
1617velv-flneflmp2,8799,Lake Asbury Junior,14,5,60,50,6,,0.42,7.6,8.4,
1617velv-flneflmp2,11465,Fort White Indibots,15,3,115,40,6,,0.25,4.0,6.4,
1617velv-flneflmp2,8796,Clay,16,1,64,17,6,,0.08,-2.7,-0.2,
