TournamentMatchCode,Match,Result,Red1,Red2,Red3,Blue1,Blue2,Blue3,RTot,BTot,R1Sur,R2Sur,B1Sur,B2Sur,
1617velv-ak-lcmpsc-Q-1,Q-1,45-35 R,9180,5394,0,3492,9019,0,45,35,true,false,true,false,
1617velv-ak-lcmpsc-Q-2,Q-2,11-40 B,5664,7388,0,8539,5530,0,11,40,true,false,false,false,
1617velv-ak-lcmpsc-Q-3,Q-3,155-45 R,5215,11168,0,4951,10502,0,155,45,false,false,false,false,
1617velv-ak-lcmpsc-Q-4,Q-4,10-45 B,4539,4955,0,10610,5247,0,10,45,false,false,false,false,
1617velv-ak-lcmpsc-Q-5,Q-5,70-20 R,3208,6112,0,4954,10991,0,70,20,false,false,false,false,
1617velv-ak-lcmpsc-Q-6,Q-6,75-0 R,10998,9781,0,10513,6695,0,75,0,false,false,false,false,
1617velv-ak-lcmpsc-Q-7,Q-7,35-150 B,5532,9019,0,8539,11168,0,35,150,false,false,false,false,
1617velv-ak-lcmpsc-Q-8,Q-8,21-65 B,4955,5664,0,5394,4951,0,21,65,false,false,false,false,
1617velv-ak-lcmpsc-Q-9,Q-9,20-56 B,5247,5530,0,9180,10991,0,20,56,false,false,false,false,
1617velv-ak-lcmpsc-Q-10,Q-10,35-51 B,4954,6695,0,5215,4539,0,35,51,false,false,false,false,
1617velv-ak-lcmpsc-Q-11,Q-11,0-85 B,10502,10513,0,7388,3208,0,0,85,false,false,false,false,
1617velv-ak-lcmpsc-Q-12,Q-12,70-85 B,6112,9781,0,3492,10610,0,70,85,false,false,false,false,
1617velv-ak-lcmpsc-Q-13,Q-13,60-26 R,10998,10991,0,5532,5664,0,60,26,false,false,false,false,
1617velv-ak-lcmpsc-Q-14,Q-14,35-145 B,5530,4954,0,11168,5394,0,35,145,false,false,false,false,
1617velv-ak-lcmpsc-Q-15,Q-15,40-32 R,4955,6695,0,10502,8539,0,40,32,false,false,false,false,
1617velv-ak-lcmpsc-Q-16,Q-16,30-70 B,4539,10513,0,4951,6112,0,30,70,false,false,false,false,
1617velv-ak-lcmpsc-Q-17,Q-17,20-135 B,10610,9019,0,5215,10998,0,20,135,false,false,false,false,
1617velv-ak-lcmpsc-Q-18,Q-18,90-56 R,3492,3208,0,5247,5532,0,90,56,false,false,false,false,
1617velv-ak-lcmpsc-Q-19,Q-19,40-25 R,9781,9180,0,7388,4954,0,40,25,false,false,false,false,
1617velv-ak-lcmpsc-Q-20,Q-20,59-75 B,6112,5664,0,11168,6695,0,59,75,false,false,false,false,
1617velv-ak-lcmpsc-Q-21,Q-21,50-60 B,10513,9019,0,4955,5530,0,50,60,false,false,false,false,
1617velv-ak-lcmpsc-Q-22,Q-22,45-65 B,10502,3492,0,4539,10991,0,45,65,false,false,false,false,
1617velv-ak-lcmpsc-Q-23,Q-23,50-70 B,3208,8539,0,10998,9180,0,50,70,false,false,false,false,
1617velv-ak-lcmpsc-Q-24,Q-24,40-39 R,4951,7388,0,10610,5532,0,40,39,false,false,false,false,
1617velv-ak-lcmpsc-Q-25,Q-25,67-40 R,5215,5394,0,5247,9781,0,67,40,false,false,false,false,
1617velv-ak-lcmpsc-Q-26,Q-26,10-80 B,10502,4539,0,9019,5664,0,10,80,false,false,false,false,
1617velv-ak-lcmpsc-Q-27,Q-27,40-60 B,8539,4954,0,3492,10513,0,40,60,false,false,false,false,
1617velv-ak-lcmpsc-Q-28,Q-28,40-37 R,9180,5532,0,6112,4955,0,40,37,false,false,false,false,
1617velv-ak-lcmpsc-Q-29,Q-29,85-75 R,5247,11168,0,7388,10998,0,85,75,false,false,false,false,
1617velv-ak-lcmpsc-Q-30,Q-30,30-35 B,10991,10610,0,6695,5394,0,30,35,false,false,false,false,
1617velv-ak-lcmpsc-Q-31,Q-31,110-50 R,9781,4951,0,5530,3208,0,110,50,false,false,false,false,
1617velv-ak-lcmpsc-Q-32,Q-32,32-36 B,5215,3492,0,9180,5664,0,32,36,false,false,false,false,
1617velv-ak-lcmpsc-SF-1-1,SF-1-1,120-100 R,11168,3208,8539,5394,5215,5530,120,100,false,false,false,false,
1617velv-ak-lcmpsc-SF-1-2,SF-1-2,85-105 B,11168,3208,8539,5394,5215,5530,85,105,false,false,false,false,
1617velv-ak-lcmpsc-SF-1-3,SF-1-3,135-65 R,11168,3208,8539,5394,5215,5530,135,65,false,false,false,false,
1617velv-ak-lcmpsc-SF-2-1,SF-2-1,105-45 R,9180,9019,4955,3492,10998,4951,105,45,false,false,false,false,
1617velv-ak-lcmpsc-SF-2-2,SF-2-2,25-90 B,9180,9019,4955,3492,10998,4951,25,90,false,false,false,false,
1617velv-ak-lcmpsc-SF-2-3,SF-2-3,70-85 B,9180,9019,4955,3492,10998,4951,70,85,false,false,false,false,
1617velv-ak-lcmpsc-F-1,F-1,85-105 B,11168,3208,8539,3492,10998,4951,85,105,false,false,false,false,
1617velv-ak-lcmpsc-F-2,F-2,220-65 R,11168,3208,8539,3492,10998,4951,220,65,false,false,false,false,
1617velv-ak-lcmpsc-F-3,F-3,130-85 R,11168,3208,8539,3492,10998,4951,130,85,false,false,false,false,
