TournamentMatchCode,Match,Result,Red1,Red2,Red3,Blue1,Blue2,Blue3,RTot,BTot,R1Sur,R2Sur,B1Sur,B2Sur,
1617velv-ak-ea-Q-1,Q-1,70-40 R,3208,8539,0,3492,4954,0,70,40,false,false,false,false,
1617velv-ak-ea-Q-2,Q-2,25-2 R,9019,10998,0,6695,9781,0,25,2,false,false,false,false,
1617velv-ak-ea-Q-3,Q-3,26-20 R,7388,9019,0,10998,3492,0,26,20,false,false,false,false,
1617velv-ak-ea-Q-4,Q-4,36-65 B,4954,9781,0,3208,6695,0,36,65,false,false,false,false,
1617velv-ak-ea-Q-5,Q-5,35-20 R,7388,3208,0,8539,9019,0,35,20,false,false,false,false,
1617velv-ak-ea-Q-6,Q-6,61-7 R,8539,7388,0,9781,10998,0,61,7,false,false,false,false,
1617velv-ak-ea-Q-7,Q-7,40-10 R,4954,6695,0,3492,7388,0,40,10,false,false,false,false,
1617velv-ak-ea-Q-8,Q-8,40-17 R,4954,8539,0,9781,9019,0,40,17,false,false,false,false,
1617velv-ak-ea-Q-9,Q-9,0-115 B,6695,10998,0,3492,3208,0,0,115,false,false,false,false,
1617velv-ak-ea-Q-10,Q-10,55-30 R,3208,10998,0,7388,4954,0,55,30,false,false,false,false,
1617velv-ak-ea-Q-11,Q-11,30-12 R,6695,3492,0,9781,8539,0,30,12,false,false,false,false,
1617velv-ak-ea-Q-12,Q-12,5-100 B,9019,4954,0,3492,3208,0,5,100,false,true,true,true,
