TournamentMatchCode,Match,Result,Red1,Red2,Red3,Blue1,Blue2,Blue3,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,R1Sur,R2Sur,B1Sur,B2Sur,
1617velv-cmptx-d0-F-1,F-1,125-210 B,9915,4717,7203,724,4216,8651,125,45,0,60,20,0,210,60,0,150,0,0,false,false,false,false,
1617velv-cmptx-d0-F-2,F-2,225-216 R,9915,4717,7203,724,4216,8651,225,55,0,130,40,0,216,45,0,131,40,0,false,false,false,false,
1617velv-cmptx-d0-F-3,F-3,150-230 B,9915,4717,7203,724,4216,8651,150,20,0,90,40,0,230,40,0,150,40,0,false,false,false,false,
