TournamentMatchCode,Div,MType,MNum,Red1,Red2,Red3,Blue1,Blue2,Blue3,R1DQ,R2DQ,R3DQ,R1YC,R2YC,R3YC,B1DQ,B2DQ,B3DQ,B1YC,B2YC,B3YC,R1Sur,R2Sur,R3Sur,B1Sur,B2Sur,B3Sur,Saved,RABeac,RACap,RACent,RACorn,RA1Pk,RA2Pk,RTBeac,RTCent,RTCorn,RECap,RPMin,RPMaj,RPMinRx,RPMajRx,BABeac,BACap,BACent,BACorn,BA1Pk,BA2Pk,BTBeac,BTCent,BTCorn,BECap,BPMin,BPMaj,BPMinRx,BPMajRx,
1617velv-md-cmpd1-Q-1,2,1,1,10873,6029,0,4141,389,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,1,0,0,0,0,0,0,
1617velv-md-cmpd1-Q-2,2,1,2,7393,6284,0,10719,7265,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,4,0,0,0,2,2,1,1,0,0,0,0,0,1,0,0,3,4,6,0,0,0,2,1,0,0,0,0,0,0,
1617velv-md-cmpd1-Q-3,2,1,3,10025,10338,0,9338,3113,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,0,0,0,2,1,0,0,0,0,0,0,
1617velv-md-cmpd1-Q-4,2,1,4,8702,10367,0,6417,8221,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,8,0,1,3,0,2,0,0,0,0,1,0,0,1,1,2,3,6,1,11,0,5,2,3,0,0,1,0,0,0,
1617velv-md-cmpd1-Q-5,2,1,5,6700,8121,0,5014,7182,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,6,0,0,4,2,2,0,0,0,0,2,0,0,0,0,0,3,3,3,0,0,0,4,1,0,0,2,0,0,0,
1617velv-md-cmpd1-Q-6,2,1,6,2753,9794,0,4991,5233,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,7,0,0,0,1,2,1,1,0,0,0,0,0,1,0,1,0,0,11,0,0,0,2,2,0,1,0,0,0,0,
1617velv-md-cmpd1-Q-7,2,1,7,6029,9338,0,6284,10367,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,5,4,0,0,0,1,1,0,1,0,0,0,0,2,0,0,2,0,3,6,0,0,0,2,2,0,1,0,0,0,0,
1617velv-md-cmpd1-Q-8,2,1,8,5014,10025,0,7393,6417,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,10,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,2,1,1,0,0,0,0,
1617velv-md-cmpd1-Q-9,2,1,9,389,7265,0,7182,2753,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
1617velv-md-cmpd1-Q-10,2,1,10,8121,4991,0,8702,10873,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,2,0,0,0,2,2,0,0,0,0,0,0,
1617velv-md-cmpd1-Q-11,2,1,11,3113,8221,0,6700,9794,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,3,10,0,4,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,1,0,
1617velv-md-cmpd1-Q-12,2,1,12,5233,10719,0,10338,4141,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,4,27,0,0,0,4,1,0,1,2,0,0,0,1,0,0,0,3,5,8,0,0,0,0,2,0,0,0,0,2,0,
1617velv-md-cmpd1-Q-13,2,1,13,10367,389,0,4991,7393,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3,0,6,0,0,0,1,2,0,1,0,0,0,0,0,1,0,2,0,0,5,0,0,0,2,3,1,1,0,0,0,0,
1617velv-md-cmpd1-Q-14,2,1,14,10025,10873,0,2753,8221,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,4,8,0,0,5,2,1,0,0,0,0,0,0,0,1,1,2,4,4,0,9,0,9,4,3,0,0,0,0,0,0,
1617velv-md-cmpd1-Q-15,2,1,15,10719,5014,0,6029,9794,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,3,5,23,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,
1617velv-md-cmpd1-Q-16,2,1,16,6417,9338,0,7182,4141,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,3,4,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,7,0,0,0,2,0,0,0,0,0,0,
1617velv-md-cmpd1-Q-17,2,1,17,6284,8702,0,6700,10338,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,8,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,4,3,3,0,0,1,0,1,0,0,1,0,0,0,
1617velv-md-cmpd1-Q-18,2,1,18,3113,5233,0,7265,8121,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6,0,0,0,0,2,0,1,0,0,0,0,1,0,0,2,0,3,5,0,0,0,2,0,0,0,0,0,0,0,
1617velv-md-cmpd1-Q-19,2,1,19,10873,9338,0,9794,7393,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,5,0,2,0,0,0,4,2,1,1,0,0,0,0,
1617velv-md-cmpd1-Q-20,2,1,20,8221,7182,0,10338,4991,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,6,3,2,12,1,9,3,3,0,0,0,0,0,0,1,0,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,
