TournamentCode,Num,Name,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,
1617velv-md-dc2,4234,Weapons of Mass Construction,1,10,213,105,5,SC,1.00,55.4,50.1,
1617velv-md-dc2,6417,Blu Cru,2,8,145,120,5,SC,0.80,46.6,41.0,
1617velv-md-dc2,8582,Heavy Metal,3,8,133,110,5,FC,0.80,23.4,25.2,
1617velv-md-dc2,4318,Green Machine Reloaded,4,6,248,125,5,WC,0.60,67.2,57.9,
1617velv-md-dc2,9799,Ingenerds,5,6,211,105,5,S1,0.60,36.9,34.8,
1617velv-md-dc2,5225,Iteration Infinity,6,6,188,70,5,W1,0.60,24.7,25.5,
1617velv-md-dc2,9802,Drachen Fire,7,6,145,95,5,,0.60,18.0,19.2,
1617velv-md-dc2,10492,Visibots,8,6,118,75,5,,0.60,8.0,11.5,
1617velv-md-dc2,5014,The Rooks,9,6,109,120,5,,0.60,46.3,45.5,
1617velv-md-dc2,9770,Robots Inc.,10,6,102,75,5,,0.60,17.8,19.5,
1617velv-md-dc2,4451,RoboFoxes,11,6,96,111,5,F1,0.60,51.6,45.1,
1617velv-md-dc2,6029,Robowiz,12,4,178,80,5,S1,0.40,25.5,24.1,
1617velv-md-dc2,11552,tbd,13,4,171,70,5,,0.40,11.2,16.1,
1617velv-md-dc2,10145,The Hive,14,4,140,125,5,,0.40,27.7,27.6,
1617velv-md-dc2,11695,tbd,15,2,165,65,5,,0.20,3.1,8.2,
1617velv-md-dc2,10025,HV4HR,16,2,156,85,5,,0.20,13.6,15.6,
1617velv-md-dc2,11896,Paul Charter School,17,2,145,90,5,,0.20,7.2,11.9,
1617velv-md-dc2,4218,Late() Knights,18,2,83,63,5,,0.20,7.0,7.9,
1617velv-md-dc2,10929,Hornets,19,0,104,41,5,,0.00,2.4,5.1,
