TournamentCode,Num,Name,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,
1617velv-mn-bu2,10590,The Monkey Wrench Gang,1,10,165,109,5,WC,1.00,76.3,63.9,
1617velv-mn-bu2,11488,Solid,2,8,162,130,5,W1,0.80,44.8,41.1,
1617velv-mn-bu2,10617,MECHATECH,3,8,146,145,5,SC,0.80,99.1,83.4,
1617velv-mn-bu2,11839,Metal Melters,4,8,129,130,5,FC,0.80,10.3,15.7,
1617velv-mn-bu2,11819,Two Crows on a Fence,5,8,69,70,5,SC,0.80,23.8,23.7,
1617velv-mn-bu2,10423,Servo Pros,6,6,124,145,5,S1,0.60,27.4,28.0,
1617velv-mn-bu2,11290,TAXI K.A.B.D,7,6,111,110,5,,0.60,2.0,9.8,
1617velv-mn-bu2,7588,The PRIDE,8,6,108,80,5,W2,0.60,22.1,21.0,
1617velv-mn-bu2,8736,TermiRaiders,9,6,93,50,5,,0.60,16.1,15.4,
1617velv-mn-bu2,11757,Rebellious Robots,10,6,88,115,5,,0.60,26.3,24.7,
1617velv-mn-bu2,10077,UnBEAR-able,11,5,176,115,5,,0.50,43.9,39.7,
1617velv-mn-bu2,10075,B.E.A.R.S.,12,5,125,102,5,,0.50,23.4,24.5,
1617velv-mn-bu2,11409,Ursa Mechanica,13,4,186,70,5,,0.40,4.9,13.0,
1617velv-mn-bu2,11417,Static Screws,14,4,160,81,5,,0.40,7.8,13.0,
1617velv-mn-bu2,5962,Nordic Storm,15,4,145,81,5,S2,0.40,18.4,19.3,
1617velv-mn-bu2,9196,Aperture Robotics,16,4,122,60,5,,0.40,18.5,17.6,
1617velv-mn-bu2,7190,Green Girls,17,4,82,31,5,S2,0.40,1.1,5.3,
1617velv-mn-bu2,10568,The Regal Kiwis,18,4,65,102,5,F2,0.40,33.3,26.6,
1617velv-mn-bu2,11903,Happy Little Robots,19,3,190,80,5,,0.30,26.5,23.5,
1617velv-mn-bu2,11989,Rosemount Middle Robotics 2,20,3,94,90,5,,0.30,-2.9,5.8,
1617velv-mn-bu2,8980,Achievement Unlocked:Name Chosen,21,3,90,31,5,S1,0.30,16.3,12.7,
1617velv-mn-bu2,9205,Iron Maidens,22,2,151,109,5,F1,0.20,27.6,27.5,
1617velv-mn-bu2,10439,Iron Eagles,23,2,70,70,5,,0.20,-2.1,4.5,
1617velv-mn-bu2,8967,Rosemount Middle Robotics,24,1,93,30,5,,0.10,-4.0,0.5,
