TournamentCode,Num,Name,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,
1617velv-mn-ep1,9078,Ground Zero,1,10,200,95,5,FC,1.00,38.8,36.5,
1617velv-mn-ep1,9890,The Rubies,2,10,172,110,5,WC,1.00,52.1,49.2,
1617velv-mn-ep1,7288,RoboGlaciers,3,10,145,216,5,SC,1.00,42.1,40.5,
1617velv-mn-ep1,11581,FTC Ramhawks,4,9,95,80,5,SC,0.90,14.5,18.3,
1617velv-mn-ep1,9418,Tempest Automatons,5,8,125,118,5,W1,0.80,58.1,51.8,
1617velv-mn-ep1,10555,Tekceratops,6,6,220,216,5,F1,0.60,101.6,85.7,
1617velv-mn-ep1,3763,Piece of Cake,7,6,120,90,5,S2,0.60,28.9,28.2,
1617velv-mn-ep1,9801,Titanium Minds,8,6,95,75,5,,0.60,14.2,17.0,
1617velv-mn-ep1,11417,Static Screws,9,6,85,80,5,,0.60,17.6,18.6,
1617velv-mn-ep1,10397,Ice Breakers,10,5,220,85,5,F2,0.50,11.9,17.7,
1617velv-mn-ep1,3558,FireBots,11,5,125,90,5,W2,0.50,35.9,31.8,
1617velv-mn-ep1,11724,Northeast Middle School Robot Team,12,5,104,100,5,,0.50,16.6,17.3,
1617velv-mn-ep1,4650,Crusader Robotics: Monkey Mechanics,13,4,165,61,5,S2,0.40,34.2,29.4,
1617velv-mn-ep1,10273,Cat in The Hat Comes Back,14,4,117,55,5,S1,0.40,4.9,9.3,
1617velv-mn-ep1,6699,Tempest,15,4,102,75,5,S1,0.40,18.5,19.2,
1617velv-mn-ep1,9196,Aperture Robotics,16,4,85,110,5,,0.40,17.2,17.1,
1617velv-mn-ep1,11175,Providence Academy Lions,17,4,40,130,5,,0.40,22.1,22.9,
1617velv-mn-ep1,11615,Pantherbots,18,4,25,35,5,,0.40,2.0,3.5,
1617velv-mn-ep1,11566,Tough Cookies,19,2,167,118,5,,0.20,22.2,21.9,
1617velv-mn-ep1,7290,JagWires,20,2,132,75,5,,0.20,20.4,19.1,
1617velv-mn-ep1,12183,Rockets,21,2,127,80,5,,0.20,-7.6,-0.0,
1617velv-mn-ep1,11937,Octobots,22,2,100,45,5,,0.20,0.3,4.6,
1617velv-mn-ep1,8034,Easy as Pi,23,2,90,40,5,,0.20,6.0,8.4,
1617velv-mn-ep1,9760,Circuit Breakerz,24,0,40,20,5,,0.00,-3.7,-0.4,
