TournamentCode,Num,Name,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,
1617velv-mn-cmpd2,10555,Tekceratops,1,12,546,170,6,WC,1.00,64.4,63.7,
1617velv-mn-cmpd2,10590,The Monkey Wrench Gang,2,12,435,170,6,SC,1.00,76.4,70.6,
1617velv-mn-cmpd2,10397,Ice Breakers,3,12,395,160,6,FC,1.00,58.7,58.7,
1617velv-mn-cmpd2,9430,Typhoons,4,10,552,145,6,F1,0.83,73.9,68.6,
1617velv-mn-cmpd2,10432,Untitled 1,5,8,586,160,6,S1,0.67,73.2,69.1,
1617velv-mn-cmpd2,11949,Team Tec Man,6,8,521,145,6,SC,0.67,67.9,64.2,
1617velv-mn-cmpd2,9182,Short Circuits,7,8,501,150,6,,0.67,67.6,63.8,
1617velv-mn-cmpd2,3558,FireBots,8,8,381,120,6,,0.67,26.2,32.5,
1617velv-mn-cmpd2,11839,Metal Melters,9,8,375,130,6,,0.67,31.4,35.7,
1617velv-mn-cmpd2,9418,Tempest Automatons,10,6,575,160,6,W2,0.50,80.5,72.7,
1617velv-mn-cmpd2,7165,Robotic Surge,11,6,490,170,6,S2,0.50,74.1,69.0,
1617velv-mn-cmpd2,11488,Solid,12,6,475,145,6,,0.50,41.2,43.8,
1617velv-mn-cmpd2,8808,Ponytail Posse,13,6,380,160,6,,0.50,45.5,46.8,
1617velv-mn-cmpd2,8712,EPIC,14,5,570,170,6,W1,0.42,81.2,74.4,
1617velv-mn-cmpd2,7232,Dyna-Bytes,15,5,455,115,6,S2,0.42,33.5,37.8,
1617velv-mn-cmpd2,10273,Cat in The Hat Comes Back,16,4,487,160,6,S1,0.33,69.7,67.7,
1617velv-mn-cmpd2,7588,The PRIDE,17,4,440,160,6,,0.33,35.1,39.0,
1617velv-mn-cmpd2,7190,Green Girls,18,4,370,155,6,,0.33,23.8,27.6,
1617velv-mn-cmpd2,12049,Rogers #2,19,4,365,105,6,,0.33,22.4,26.2,
1617velv-mn-cmpd2,9890,The Rubies,20,4,272,105,6,F2,0.33,10.2,15.4,
1617velv-mn-cmpd2,8962,TimeCrafters,21,3,355,115,6,,0.25,14.0,19.6,
1617velv-mn-cmpd2,11872,Visible Spectrum,22,1,541,115,6,,0.08,54.4,51.2,
1617velv-mn-cmpd2,10469,Black Sabers,23,0,469,111,6,,0.00,29.8,32.2,
1617velv-mn-cmpd2,10664,Attack on Robot,24,0,440,135,6,,0.00,25.1,28.9,
