TournamentMatchCode,Match,Result,Red1,Red2,Red3,Blue1,Blue2,Blue3,RTot,BTot,R1Sur,R2Sur,B1Sur,B2Sur,
1617velv-mn-cmpd2-Q-1,Q-1,125-80 R,9430,10397,0,11872,7588,0,125,80,false,false,false,false,
1617velv-mn-cmpd2-Q-2,Q-2,120-10 R,10590,3558,0,9890,8962,0,120,10,false,false,false,false,
1617velv-mn-cmpd2-Q-3,Q-3,60-105 B,7232,10664,0,8808,10555,0,60,105,false,false,false,false,
1617velv-mn-cmpd2-Q-4,Q-4,120-90 R,10432,11949,0,7165,12049,0,120,90,false,false,false,false,
1617velv-mn-cmpd2-Q-5,Q-5,150-155 B,10273,9182,0,9418,7190,0,150,155,false,false,false,false,
1617velv-mn-cmpd2-Q-6,Q-6,55-100 B,10469,11488,0,8712,11839,0,55,100,false,false,false,false,
1617velv-mn-cmpd2-Q-7,Q-7,105-170 B,10432,7588,0,10590,10555,0,105,170,false,false,false,false,
1617velv-mn-cmpd2-Q-8,Q-8,75-105 B,10664,7165,0,9182,3558,0,75,105,false,false,false,false,
1617velv-mn-cmpd2-Q-9,Q-9,105-82 R,9430,9890,0,10469,10273,0,105,82,false,false,false,false,
1617velv-mn-cmpd2-Q-10,Q-10,115-115 T,11872,8962,0,7232,8712,0,115,115,false,false,false,false,
1617velv-mn-cmpd2-Q-11,Q-11,75-145 B,11488,9418,0,10397,11949,0,75,145,false,false,false,false,
1617velv-mn-cmpd2-Q-12,Q-12,80-40 R,7190,8808,0,12049,11839,0,80,40,false,false,false,false,
1617velv-mn-cmpd2-Q-13,Q-13,81-85 B,11872,10469,0,10432,3558,0,81,85,false,false,false,false,
1617velv-mn-cmpd2-Q-14,Q-14,80-90 B,11949,10273,0,7232,10590,0,80,90,false,false,false,false,
1617velv-mn-cmpd2-Q-15,Q-15,45-65 B,9890,11839,0,10397,10555,0,45,65,false,false,false,false,
1617velv-mn-cmpd2-Q-16,Q-16,100-60 R,12049,9182,0,9430,8962,0,100,60,false,false,false,false,
1617velv-mn-cmpd2-Q-17,Q-17,170-75 R,8712,7165,0,9418,8808,0,170,75,false,false,false,false,
1617velv-mn-cmpd2-Q-18,Q-18,25-90 B,7190,10664,0,11488,7588,0,25,90,false,false,false,false,
1617velv-mn-cmpd2-Q-19,Q-19,30-155 B,3558,12049,0,10273,10397,0,30,155,false,false,false,false,
1617velv-mn-cmpd2-Q-20,Q-20,40-135 B,8808,9890,0,10432,9182,0,40,135,false,false,false,false,
1617velv-mn-cmpd2-Q-21,Q-21,130-75 R,11839,11949,0,10664,11872,0,130,75,false,false,false,false,
1617velv-mn-cmpd2-Q-22,Q-22,110-160 B,7232,10469,0,7588,9418,0,110,160,false,false,false,false,
1617velv-mn-cmpd2-Q-23,Q-23,130-100 R,9430,10590,0,7190,8712,0,130,100,false,false,false,false,
1617velv-mn-cmpd2-Q-24,Q-24,145-110 R,10555,11488,0,7165,8962,0,145,110,false,false,false,false,
1617velv-mn-cmpd2-Q-25,Q-25,70-105 B,10664,12049,0,9890,9418,0,70,105,false,false,false,false,
1617velv-mn-cmpd2-Q-26,Q-26,95-65 R,10590,11839,0,9182,7232,0,95,65,false,false,false,false,
1617velv-mn-cmpd2-Q-27,Q-27,65-30 R,8962,10397,0,7190,10469,0,65,30,false,false,false,false,
1617velv-mn-cmpd2-Q-28,Q-28,125-115 R,10555,7165,0,10273,11872,0,125,115,false,false,false,false,
1617velv-mn-cmpd2-Q-29,Q-29,135-145 B,10432,8808,0,9430,11488,0,135,145,false,false,false,false,
1617velv-mn-cmpd2-Q-30,Q-30,90-110 B,8712,7588,0,11949,3558,0,90,110,false,false,false,false,
1617velv-mn-cmpd2-Q-31,Q-31,25-115 B,9890,7190,0,7232,7165,0,25,115,false,false,false,false,
1617velv-mn-cmpd2-Q-32,Q-32,75-105 B,11488,11872,0,10590,12049,0,75,105,false,false,false,false,
1617velv-mn-cmpd2-Q-33,Q-33,140-111 R,9182,10555,0,11949,10469,0,140,111,false,false,false,false,
1617velv-mn-cmpd2-Q-34,Q-34,30-160 B,8962,7588,0,8808,10273,0,30,160,false,false,false,false,
1617velv-mn-cmpd2-Q-35,Q-35,160-135 R,10397,10432,0,10664,8712,0,160,135,false,false,false,false,
1617velv-mn-cmpd2-Q-36,Q-36,95-110 B,9418,3558,0,9430,11839,0,95,110,false,false,false,false,
1617velv-mn-cmpd2-SF-1-1,SF-1-1,220-80 R,10555,8712,9418,11949,10273,7232,220,80,false,false,false,false,
1617velv-mn-cmpd2-SF-2-1,SF-2-1,65-145 B,10590,10432,7165,10397,9430,9890,65,145,false,false,false,false,
1617velv-mn-cmpd2-SF-1-2,SF-1-2,230-75 R,10555,8712,9418,11949,10273,7232,230,75,false,false,false,false,
1617velv-mn-cmpd2-SF-2-2,SF-2-2,95-110 B,10590,10432,7165,10397,9430,9890,95,110,false,false,false,false,
1617velv-mn-cmpd2-F-1,F-1,205-95 R,10555,8712,9418,10397,9430,9890,205,95,false,false,false,false,
1617velv-mn-cmpd2-F-2,F-2,150-110 R,10555,8712,9418,10397,9430,9890,150,110,false,false,false,false,
