TournamentCode,Num,Name,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,
1617velv-mn-nb1,9890,The Rubies,1,10,286,150,5,FC,1.00,78.6,72.3,
1617velv-mn-nb1,7655,The Q is Silqent,2,9,273,120,5,WC,0.90,64.3,57.0,
1617velv-mn-nb1,8438,Quantum Leap,3,8,247,150,5,SC,0.80,53.3,46.5,
1617velv-mn-nb1,9258,The Glorious Dweebs,4,7,175,140,5,SC,0.70,19.2,25.6,
1617velv-mn-nb1,2887,Edina Bucket Brigade,5,6,236,91,5,,0.60,43.4,39.1,
1617velv-mn-nb1,11301,Maranatha Christian Academy FTC 1,6,6,232,80,5,,0.60,39.5,36.0,
1617velv-mn-nb1,7646,Circuit Overlords,7,6,220,80,5,S1,0.60,32.8,32.2,
1617velv-mn-nb1,7288,RoboGlaciers,8,6,217,120,5,S1,0.60,38.4,35.6,
1617velv-mn-nb1,9430,Typhoons,9,6,172,115,5,W1,0.60,31.1,32.9,
1617velv-mn-nb1,11413,Auto Anonymous Chisago Lakes Middle School,10,6,108,140,5,F2,0.60,49.8,43.3,
1617velv-mn-nb1,4001,Limited Edition,11,5,261,95,5,F1,0.50,44.9,41.3,
1617velv-mn-nb1,10273,Cat in The Hat Comes Back,12,5,205,70,5,S2,0.50,19.2,21.1,
1617velv-mn-nb1,11206,Ordean Devil Dogs,13,4,254,91,5,,0.40,24.5,27.2,
1617velv-mn-nb1,11621,Light Speed,14,4,250,120,5,,0.40,39.2,38.0,
1617velv-mn-nb1,7659,Blue Crew,15,4,186,80,5,S2,0.40,18.2,20.5,
1617velv-mn-nb1,8962,TimeCrafters,16,4,177,105,5,W2,0.40,7.8,14.5,
1617velv-mn-nb1,11906,Absolute Zero,17,4,177,61,5,,0.40,28.0,25.3,
1617velv-mn-nb1,11412,Green Stop Sign Chisago Lakes Middle School,18,4,170,90,5,,0.40,10.0,14.4,
1617velv-mn-nb1,9415,Thunderstorm,19,4,156,49,5,,0.40,1.8,9.4,
1617velv-mn-nb1,3764,Extendomatics,20,4,140,61,5,,0.40,15.7,17.7,
1617velv-mn-nb1,6699,Tempest,21,2,296,80,5,,0.20,36.2,35.2,
1617velv-mn-nb1,11586,Becker Middle School,22,2,232,70,5,,0.20,23.7,23.9,
1617velv-mn-nb1,7069,Reboot,23,2,146,85,5,,0.20,8.7,12.9,
1617velv-mn-nb1,10733,Capitol Hill FTC,24,2,140,95,5,,0.20,0.8,6.1,
