Date,Event Name,Event Region,Event Type,Division,Match Type,Match Number,Red 1,Red 2,Red 3,Blue 1,Blue 2,Blue 3,Red 1: No Show (1) Disqualified (2),Red 2: No Show (1) Disqualified (2),Red 3: No Show (1) Disqualified (2),Blue 1: No Show (1) Disqualified (2),Blue 2: No Show (1) Disqualified (2),Blue 3: No Show (1) Disqualified (2),Red 1 Surrogate,Red 2 Surrogate,Red 3 Surrogate,Blue 1 Surrogate,Blue 2 Surrogate,Blue 3 Surrogate,Match Saved,AUTO Period Robot 1 Placement,AUTO Period Robot 2 Placement,AUTO Period Rescue Beacons,AUTO Period Climbers in Shelter,TELE Robot 1 Placement,TELE Robot 2 Placement,TELE Floor Goal,TELE High Goal,TELE Low Goal,TELE Mid Goal,TELE Climbers in Shelter,TELE Zip Line,END All Clear Signal,END Robot on Pull Up Bar,Minor Penalty incurred,Major Penalty incurred,Minor Penalty Awarded,Major Penalty Awarded,AUTO Period Robot 1 Placement,AUTO Period Robot 2 Placement,AUTO Period Rescue Beacons,AUTO Period Climbers in Shelter,TELE Robot 1 Placement,TELE Robot 2 Placement,TELE Floor Goal,TELE High Goal,TELE Low Goal,TELE Mid Goal,TELE Climbers in Shelter,TELE Zip Line,END All Clear Signal,END Robot on Pull Up Bar,Minor Penalty incurred,Major Penalty Incurred,Minor Penalty Awarded,Major Penalty Awarded
1/23/2016,Eagle River Qualifier,Alaska,Qualifying Tournament,1,1,1,7388,3492,0,10647,9019,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,23,0,1,0,2,0,0,0,0,0,0,0
1/23/2016,Eagle River Qualifier,Alaska,Qualifying Tournament,1,1,2,10610,5247,0,5215,10998,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0
1/23/2016,Eagle River Qualifier,Alaska,Qualifying Tournament,1,1,3,9781,5664,0,3480,7298,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,1,0,0,0,0
1/23/2016,Eagle River Qualifier,Alaska,Qualifying Tournament,1,1,4,3825,4954,0,5530,10513,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0
1/23/2016,Eagle River Qualifier,Alaska,Qualifying Tournament,1,1,5,8539,4955,0,5532,5394,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,1,0,0,0,0,0,0,0
1/23/2016,Eagle River Qualifier,Alaska,Qualifying Tournament,1,1,6,9180,3208,0,3826,8469,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
1/23/2016,Eagle River Qualifier,Alaska,Qualifying Tournament,1,1,7,8311,9843,0,6695,4539,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,1,0,0,0,0,0,0
1/23/2016,Eagle River Qualifier,Alaska,Qualifying Tournament,1,1,8,4955,5247,0,3825,9781,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0
1/23/2016,Eagle River Qualifier,Alaska,Qualifying Tournament,1,1,9,10610,5394,0,9019,9180,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,3,1,0,0,0,0,0,0
1/23/2016,Eagle River Qualifier,Alaska,Qualifying Tournament,1,1,10,3826,3492,0,5215,9843,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,2,0,0,0,0,0,0
1/23/2016,Eagle River Qualifier,Alaska,Qualifying Tournament,1,1,11,7298,8469,0,6695,4954,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1/23/2016,Eagle River Qualifier,Alaska,Qualifying Tournament,1,1,12,10998,3208,0,5532,8311,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,1,2,0,0,0,0,0,0
1/23/2016,Eagle River Qualifier,Alaska,Qualifying Tournament,1,1,13,5530,3480,0,4539,7388,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,5,8,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
1/23/2016,Eagle River Qualifier,Alaska,Qualifying Tournament,1,1,14,10647,10513,0,5664,8539,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0
1/23/2016,Eagle River Qualifier,Alaska,Qualifying Tournament,1,1,15,3492,7298,0,8311,4955,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,3,9,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0
1/23/2016,Eagle River Qualifier,Alaska,Qualifying Tournament,1,1,16,8469,5530,0,9843,10610,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,20,0,0,0,0,3,0,1,0,0,0,0
1/23/2016,Eagle River Qualifier,Alaska,Qualifying Tournament,1,1,17,6695,9180,0,10998,8539,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,22,0,0,0,2,1,0,0,0,0,0,0
1/23/2016,Eagle River Qualifier,Alaska,Qualifying Tournament,1,1,18,5532,9781,0,3826,4954,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,3,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0
1/23/2016,Eagle River Qualifier,Alaska,Qualifying Tournament,1,1,19,9019,3480,0,10513,3208,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,2,3,0,2,0,0,0,0,1,0,0,0,3,4,15,0,0,0,2,0,0,0,0,0,0,0
1/23/2016,Eagle River Qualifier,Alaska,Qualifying Tournament,1,1,20,5215,4539,0,10647,3825,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,1,0,0,0,0,0,0,0
