Date,Event Name,Event Region,Event Type,Division,Match Type,Match Number,Red 1,Red 2,Red 3,Blue 1,Blue 2,Blue 3,Red 1: No Show (1) Disqualified (2),Red 2: No Show (1) Disqualified (2),Red 3: No Show (1) Disqualified (2),Blue 1: No Show (1) Disqualified (2),Blue 2: No Show (1) Disqualified (2),Blue 3: No Show (1) Disqualified (2),Red 1 Surrogate,Red 2 Surrogate,Red 3 Surrogate,Blue 1 Surrogate,Blue 2 Surrogate,Blue 3 Surrogate,Match Saved,AUTO Period Robot 1 Placement,AUTO Period Robot 2 Placement,AUTO Period Rescue Beacons,AUTO Period Climbers in Shelter,TELE Robot 1 Placement,TELE Robot 2 Placement,TELE Floor Goal,TELE High Goal,TELE Low Goal,TELE Mid Goal,TELE Climbers in Shelter,TELE Zip Line,END All Clear Signal,END Robot on Pull Up Bar,Minor Penalty incurred,Major Penalty incurred,Minor Penalty Awarded,Major Penalty Awarded,AUTO Period Robot 1 Placement,AUTO Period Robot 2 Placement,AUTO Period Rescue Beacons,AUTO Period Climbers in Shelter,TELE Robot 1 Placement,TELE Robot 2 Placement,TELE Floor Goal,TELE High Goal,TELE Low Goal,TELE Mid Goal,TELE Climbers in Shelter,TELE Zip Line,END All Clear Signal,END Robot on Pull Up Bar,Minor Penalty incurred,Major Penalty Incurred,Minor Penalty Awarded,Major Penalty Awarded
1/23/2016,Eagle River Qualifier,Alaska,Qualifying Tournament,1,1,21,7388,5247,0,5664,5394,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1/23/2016,Eagle River Qualifier,Alaska,Qualifying Tournament,1,1,22,8311,10513,0,9781,8469,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,5,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,5,0,2,0,0,0,0,0,0,0,0,0
1/23/2016,Eagle River Qualifier,Alaska,Qualifying Tournament,1,1,23,9843,7298,0,9180,10647,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,3,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,17,0,0,0,0,0,0,0,0,0,0,0
1/23/2016,Eagle River Qualifier,Alaska,Qualifying Tournament,1,1,24,5215,5532,0,7388,6695,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,4,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
1/23/2016,Eagle River Qualifier,Alaska,Qualifying Tournament,1,1,25,3208,8539,0,5530,5247,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,2,0,3,0,0,1,0,0,0,0,0,0
1/23/2016,Eagle River Qualifier,Alaska,Qualifying Tournament,1,1,26,9019,3825,0,5664,10998,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,4,16,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,3,10,0,0,0,0,1,0,0,0,0,0,0
1/23/2016,Eagle River Qualifier,Alaska,Qualifying Tournament,1,1,27,4539,3826,0,10610,4955,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,13,0,0,0,0,0,0,0,0,0,0,0
1/23/2016,Eagle River Qualifier,Alaska,Qualifying Tournament,1,1,28,5394,4954,0,3480,3492,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,8,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,3,0,1,0,0,0,0
1/23/2016,Eagle River Qualifier,Alaska,Qualifying Tournament,1,1,29,6695,10647,0,9781,5530,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,0,1,0,0,1,0,0,0,0,0,0
1/23/2016,Eagle River Qualifier,Alaska,Qualifying Tournament,1,1,30,5532,8469,0,4539,5247,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,5,3,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,4,24,0,0,0,0,1,0,0,0,0,0,0
1/23/2016,Eagle River Qualifier,Alaska,Qualifying Tournament,1,1,31,9180,5215,0,8311,3480,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,19,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,3,0,32,0,0,0,0,3,0,1,0,0,0,0
1/23/2016,Eagle River Qualifier,Alaska,Qualifying Tournament,1,1,32,10513,10998,0,7388,4955,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,3,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,5,18,0,0,0,0,1,0,0,0,0,0,0
1/23/2016,Eagle River Qualifier,Alaska,Qualifying Tournament,1,1,33,9843,8539,0,4954,9019,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,24,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,3,3,12,0,0,0,2,1,0,0,0,0,0,0
1/23/2016,Eagle River Qualifier,Alaska,Qualifying Tournament,1,1,34,5394,3826,0,7298,3825,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,17,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,1,1,0,0,0,0,0,0
1/23/2016,Eagle River Qualifier,Alaska,Qualifying Tournament,1,1,35,10610,5664,0,3492,3208,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,4,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,18,0,0,0,2,1,0,0,0,0,0,0
1/23/2016,Eagle River Qualifier,Alaska,Qualifying Tournament,1,3,11,3480,9843,8539,5215,5394,4539,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,27,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,5,22,0,5,0,0,1,0,0,0,0,0,0
1/23/2016,Eagle River Qualifier,Alaska,Qualifying Tournament,1,3,12,3480,9843,8539,5215,5394,4539,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,5,0,26,0,3,0,0,0,0,0,0,0,0,0
1/23/2016,Eagle River Qualifier,Alaska,Qualifying Tournament,1,3,21,5532,9019,10513,7298,5530,3825,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,20,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,4,17,0,0,0,1,1,0,0,0,0,0,0
1/23/2016,Eagle River Qualifier,Alaska,Qualifying Tournament,1,3,22,5532,9019,10513,7298,5530,3825,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,3,26,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,3,0,12,0,0,0,1,1,0,0,0,0,1,0
1/23/2016,Eagle River Qualifier,Alaska,Qualifying Tournament,1,4,1,3480,9843,8539,5532,9019,10513,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,9,0,0,0,2,0,0,0,0,0,0,0
1/23/2016,Eagle River Qualifier,Alaska,Qualifying Tournament,1,4,2,3480,9843,8539,5532,9019,10513,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,31,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,18,0,0,0,0,0,0,1,0,0,0,0
1/23/2016,Eagle River Qualifier,Alaska,Qualifying Tournament,1,4,3,3480,9843,8539,5532,9019,10513,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,1,1,0,0,0,0
4/27/2016,World Championship - Edison Division,All,World Championship,1,1,1,7655,7209,0,4924,2997,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,5,13,0,2,2,0,0,1,0,0,0,1,1,0,0,0,5,3,4,0,0,3,4,2,1,0,0,1,0,0
4/27/2016,World Championship - Edison Division,All,World Championship,1,1,2,8913,11050,0,10060,5220,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,6,0,0,2,0,0,0,0,0,0,0,0,0,2,1,2,4,0,12,14,0,0,4,2,1,1,0,0,0,0
4/27/2016,World Championship - Edison Division,All,World Championship,1,1,3,6389,11044,0,8660,11042,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,4,3,12,0,7,2,1,0,0,0,0,0,0,1,0,0,0,6,3,2,0,0,0,4,1,1,0,0,0,0,0
4/27/2016,World Championship - Edison Division,All,World Championship,1,1,4,11059,7477,0,10165,9789,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,3,12,10,0,4,2,3,2,0,2,0,0,0,2,1,1,4,4,6,8,0,0,0,4,1,0,0,0,0,2,0
4/27/2016,World Championship - Edison Division,All,World Championship,1,1,5,7591,8390,0,8668,11040,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,3,0,6,4,0,1,0,2,0,0,0,0,3,0,0,0,0,0,3,0,0,2,2,2,0,1,0,0,0,0
4/27/2016,World Championship - Edison Division,All,World Championship,1,1,6,5385,6981,0,8907,4347,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,3,5,6,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,8,0,0,0,0,0,0,0,0
4/27/2016,World Championship - Edison Division,All,World Championship,1,1,7,5916,4029,0,5975,8606,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,2,10,0,9,1,2,0,1,0,0,0,0,0,1,0,1,0,5,0,0,0,8,1,1,1,1,0,0,0,0
4/27/2016,World Championship - Edison Division,All,World Championship,1,1,8,7350,10183,0,8466,8221,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,6,0,1,1,1,0,0,0,0,1,0,0,0,0,0,2,15,4,12,0,2,1,2,0,0,0,0
4/27/2016,World Championship - Edison Division,All,World Championship,1,1,9,7351,10889,0,8681,6299,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,6,12,2,9,6,2,1,0,0,0,0,0,0,1,0,1,0,6,0,6,13,0,0,2,3,0,1,0,0,0,0
4/27/2016,World Championship - Edison Division,All,World Championship,1,1,10,6220,11057,0,4143,6109,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,0,4,8,10,0,0,4,3,1,1,0,0,0,0,5,1,0,0,6,5,1,8,3,0,0,2,0,0,0,0,0,0
4/27/2016,World Championship - Edison Division,All,World Championship,1,1,11,4290,3537,0,5795,5110,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,0,7,5,0,3,1,3,0,1,0,0,0,0,1,0,0,0,0,4,0,10,3,4,2,3,1,1,0,0,0,0
4/27/2016,World Championship - Edison Division,All,World Championship,1,1,12,5202,7486,0,7242,7172,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,7,0,0,4,2,2,1,1,0,0,0,0,0,2,1,0,3,4,4,7,6,0,0,3,0,0,0,0,0,0
4/27/2016,World Championship - Edison Division,All,World Championship,1,1,13,8686,11052,0,11058,3781,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,5,3,0,0,2,2,0,1,0,0,0,0,0,1,0,2,0,0,1,8,0,12,2,0,1,2,0,0,0,0
4/27/2016,World Championship - Edison Division,All,World Championship,1,1,14,6022,9851,0,4082,4997,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,6,8,6,0,13,0,3,1,0,0,0,0,0,1,1,0,0,5,0,3,7,0,5,0,2,0,0,0,0,0,0
4/27/2016,World Championship - Edison Division,All,World Championship,1,1,15,6047,3415,0,6451,8644,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,5,4,4,12,0,13,1,2,0,0,0,0,0,0,0,3,0,2,4,4,2,3,0,0,4,1,0,0,0,0,0,0
4/27/2016,World Championship - Edison Division,All,World Championship,1,1,16,11048,6137,0,3486,11051,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,5,11,0,0,2,0,1,1,0,0,2,0,1,0,0,0,6,4,5,0,0,2,0,0,0,0,2,0,0,0
4/27/2016,World Championship - Edison Division,All,World Championship,1,1,17,8466,11042,0,7209,8668,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,4,6,4,4,0,9,2,2,0,0,0,0,0,0,0,4,0,0,0,6,2,0,0,3,2,2,0,0,0,0,0,0
4/27/2016,World Championship - Edison Division,All,World Championship,1,1,18,10165,10060,0,8221,5975,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,4,0,0,5,4,3,0,1,0,0,1,0,0,0,0,0,4,0,3,14,5,9,0,3,1,1,1,0,0,0
4/27/2016,World Championship - Edison Division,All,World Championship,1,1,19,4924,6220,0,8390,5220,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,6,6,0,0,4,4,2,0,1,0,0,0,0,1,0,1,2,4,0,0,12,4,7,2,1,0,0,0,0,0,0
4/27/2016,World Championship - Edison Division,All,World Championship,1,1,20,8660,11059,0,11050,4029,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,8,0,0,0,3,1,1,1,0,0,1,0,0,1,1,2,4,0,1,7,0,4,2,0,0,1,1,0,0,0
4/27/2016,World Championship - Edison Division,All,World Championship,1,1,21,3781,10183,0,6109,5110,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,0,4,17,4,0,5,2,2,0,0,0,0,2,0,0,0,0,0,3,4,2,3,0,0,0,1,0,0,2,0,0,0
4/27/2016,World Championship - Edison Division,All,World Championship,1,1,22,10889,11058,0,4290,4143,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,4,3,0,3,4,0,2,0,0,0,0,4,0,0,5,0,0,4,0,6,7,0,0,2,2,0,1,4,0,0,0
4/27/2016,World Championship - Edison Division,All,World Championship,1,1,23,8606,8644,0,7477,8681,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,4,0,6,3,13,0,9,4,1,0,1,0,0,0,0,0,0,0,0,4,5,1,11,0,4,4,3,2,0,0,0,0,0
4/27/2016,World Championship - Edison Division,All,World Championship,1,1,24,3486,6389,0,7655,6047,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,7,0,4,2,2,0,1,0,0,0,0,0,0,0,0,0,6,1,9,0,12,2,2,1,1,0,0,0,0
4/27/2016,World Championship - Edison Division,All,World Championship,1,1,25,11048,5385,0,11044,6022,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,6,7,0,0,0,0,0,1,2,1,0,1,1,1,0,0,4,0,0,7,0,12,2,2,0,0,0,1,2,1
4/27/2016,World Championship - Edison Division,All,World Championship,1,1,26,6299,11052,0,7172,5916,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,4,14,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,6,1,13,0,4,0,1,0,0,0,0,0,0
4/27/2016,World Championship - Edison Division,All,World Championship,1,1,27,6451,7486,0,8686,8907,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,6,0,8,0,0,5,2,1,1,1,0,0,4,0,0,1,1,2,0,0,3,0,0,0,2,0,0,1,4,0,0,0
4/27/2016,World Championship - Edison Division,All,World Championship,1,1,28,11051,7591,0,5202,3537,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,3,3,5,0,4,2,0,0,0,0,0,0,0,0,0,1,4,5,0,7,6,0,5,4,2,1,1,0,0,0,0
4/27/2016,World Championship - Edison Division,All,World Championship,1,1,29,2997,6137,0,4082,8913,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,3,9,0,2,2,1,1,1,0,0,1,0,1,0,0,0,4,5,6,3,0,4,2,2,0,0,1,0,0,0
4/27/2016,World Championship - Edison Division,All,World Championship,1,1,30,9789,11040,0,9851,11057,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,0,0,14,0,1,0,2,3,0,1,0,0,0,0,0,1,0,3,0,4,12,0,0,0,3,3,1,1,0,0,0,0
4/27/2016,World Championship - Edison Division,All,World Championship,1,1,31,4347,7242,0,7351,7350,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,6,0,3,9,0,11,1,2,0,1,0,0,0,0,1,0,0,0,4,0,3,0,2,7,4,1,0,1,0,0,0,0
4/27/2016,World Championship - Edison Division,All,World Championship,1,1,32,4997,6981,0,5795,3415,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,4,0,2,10,0,11,2,2,1,1,0,0,2,0,2,0,0,0,5,4,1,7,0,6,2,1,0,0,2,0,0,0
4/27/2016,World Championship - Edison Division,All,World Championship,1,1,33,10165,11042,0,8681,11048,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,6,4,6,0,5,5,4,2,0,0,0,0,0,0,1,0,0,0,6,5,13,0,0,0,2,3,1,0,0,0,0,0
4/27/2016,World Championship - Edison Division,All,World Championship,1,1,34,8390,5385,0,4143,8606,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,4,1,8,0,0,1,1,0,1,0,0,0,0,5,1,0,0,0,0,3,10,0,6,0,3,0,2,0,0,0,0
4/27/2016,World Championship - Edison Division,All,World Championship,1,1,35,8221,4924,0,3486,10889,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,13,0,4,0,2,1,1,0,0,0,0,0,1,0,2,4,6,1,10,0,9,2,3,0,0,0,0,0,0
4/27/2016,World Championship - Edison Division,All,World Championship,1,1,36,3537,6299,0,11058,10183,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6,0,3,11,0,8,2,2,0,1,0,0,0,0,0,0,0,0,4,0,7,9,2,0,0,0,0,0,0,0,0,0
4/27/2016,World Championship - Edison Division,All,World Championship,1,1,37,7591,5220,0,4029,5110,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,9,0,9,0,1,0,2,0,0,0,0,1,0,1,2,0,0,3,4,0,14,2,2,1,1,0,0,0,0
4/27/2016,World Championship - Edison Division,All,World Championship,1,1,38,4082,8644,0,10060,4290,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,2,0,0,1,12,0,9,4,3,1,2,0,0,0,0,0,0,0,0,0,3,7,0,0,0,2,0,1,1,0,0,0,0
4/27/2016,World Championship - Edison Division,All,World Championship,1,1,39,6389,11057,0,4347,7486,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,4,0,2,13,0,0,2,0,0,0,0,0,0,0,2,0,0,0,6,0,0,1,3,8,2,2,0,1,0,0,0,0
4/27/2016,World Championship - Edison Division,All,World Championship,1,1,40,8668,5975,0,5795,7350,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6,0,0,5,2,1,1,2,0,0,0,0,2,0,0,2,3,6,1,0,2,0,4,0,0,0,0,0,0,0
4/27/2016,World Championship - Edison Division,All,World Championship,1,1,41,7351,6022,0,6137,11052,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,3,8,7,5,3,1,0,1,0,1,0,0,3,0,0,1,0,0,4,12,0,2,1,0,1,1,0,0,0,1
4/27/2016,World Championship - Edison Division,All,World Championship,1,1,42,5202,8686,0,7209,6981,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,5,0,4,0,7,5,2,2,1,1,0,0,0,0,0,2,0,2,0,6,6,7,0,0,4,1,0,1,0,0,0,0
