TournamentCode,Num,Name,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,
1617velv-or-be1,8949,The Gifted Gears,1,9,212,130,5,,0.90,67.9,60.3,
1617velv-or-be1,750,Gears in Motion,2,7,236,90,5,,0.70,34.2,34.1,
1617velv-or-be1,3058,Jury Riggers,3,7,223,75,5,,0.70,42.0,37.4,
1617velv-or-be1,8610,ToborTech,4,7,218,95,5,,0.70,37.8,35.7,
1617velv-or-be1,7516,Mr. Roboto,5,6,213,70,5,,0.60,15.3,19.2,
1617velv-or-be1,4097,The Pac-Bots,6,6,188,130,5,,0.60,39.3,38.1,
1617velv-or-be1,7013,Hot Wired,7,5,256,80,5,,0.50,34.2,33.9,
1617velv-or-be1,12002,Tualatin FTC,8,4,198,61,5,,0.40,8.8,13.5,
1617velv-or-be1,9774,Nano Ninjas,9,3,204,80,5,,0.30,12.7,17.1,
1617velv-or-be1,3965,Twisted Metal,10,2,232,80,5,,0.20,19.6,20.2,
1617velv-or-be1,9231,Big Bots,11,2,211,70,5,,0.20,15.0,16.9,
1617velv-or-be1,10565,System Online,12,2,181,108,5,,0.20,26.9,26.7,
