TournamentCode,Num,Name,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,
1617velv-or-mc1,9529,fig neutrons,1,10,108,70,5,,1.00,40.6,36.1,
1617velv-or-mc1,7873,Duct tape,2,8,137,80,5,,0.80,33.4,30.1,
1617velv-or-mc1,8176,Steelhead,3,8,92,95,5,,0.80,37.2,34.5,
1617velv-or-mc1,4543,Binary Chaos,4,8,73,60,5,,0.80,23.5,22.7,
1617velv-or-mc1,10485,sa-Bot-age,5,6,132,95,5,,0.60,39.4,34.8,
1617velv-or-mc1,7875,Men In Green,6,6,115,65,5,,0.60,11.7,14.4,
1617velv-or-mc1,5266,Challenge Ac++epted 2,7,6,105,125,5,,0.60,55.8,47.6,
1617velv-or-mc1,10431,mechanicals,8,6,73,70,5,,0.60,12.2,13.6,
1617velv-or-mc1,5686,Cog-nation,9,4,112,45,5,,0.40,2.1,6.8,
1617velv-or-mc1,8171,Ranger Bots,10,4,76,55,5,,0.40,7.2,9.8,
1617velv-or-mc1,11828,White Salmon Snakes,11,4,57,45,5,,0.40,-1.3,3.3,
1617velv-or-mc1,11787,the turing machines,12,4,42,125,5,,0.40,20.9,21.5,
1617velv-or-mc1,8082,Flying Toasters,13,2,95,55,5,,0.20,6.9,9.1,
1617velv-or-mc1,7874,jumpstart,14,2,52,40,5,,0.20,0.4,2.5,
1617velv-or-mc1,8165,KillaBots,15,2,24,91,5,,0.20,9.8,10.8,
1617velv-or-mc1,3633,Bazinga Bot,16,0,35,20,5,,0.00,-1.3,0.1,
