TournamentCode,Num,Name,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,
1617velv-or-ha1,10925,Spartacles,1,10,155,65,5,,1.00,33.4,30.5,
1617velv-or-ha1,11397,BBIT,2,8,120,60,5,,0.80,15.9,17.5,
1617velv-or-ha1,9776,The United Nerds,3,8,75,65,5,,0.80,25.0,23.2,
1617velv-or-ha1,7333,Combustible Lemons,4,7,70,60,5,,0.70,24.9,23.4,
1617velv-or-ha1,3525,Dynamite Robotics,5,6,145,60,5,,0.60,32.5,28.0,
1617velv-or-ha1,11591,Falcons,6,5,125,65,5,,0.50,16.9,17.9,
1617velv-or-ha1,8720,Eagles,7,5,115,65,5,,0.50,21.4,20.2,
1617velv-or-ha1,12057,Artificial Unintellegence,8,4,170,50,5,,0.40,15.3,16.7,
1617velv-or-ha1,11625,Clockwork Robotics,9,4,130,40,5,,0.40,18.0,18.6,
1617velv-or-ha1,10332,Brobotics,10,3,125,40,5,,0.30,18.7,17.1,
1617velv-or-ha1,9769,Total Chaos,11,0,110,50,5,,0.00,6.9,8.2,
1617velv-or-ha1,10550,YC Robots I,12,0,40,15,5,,0.00,-13.6,-7.2,
