TournamentCode,Num,Name,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,
1617velv-or-cba1,7470,Elite Tech,1,10,110,70,5,,1.00,26.3,23.8,
1617velv-or-cba1,7474,VWA,2,8,90,55,5,,0.80,24.4,22.2,
1617velv-or-cba1,6741,HHS Robotics,3,8,55,60,5,,0.80,20.1,20.8,
1617velv-or-cba1,8153,Aperture Robotics,4,6,130,70,5,,0.60,21.4,22.2,
1617velv-or-cba1,11887,Hermiston Middle Schools Robotics,5,6,100,60,5,,0.60,15.7,14.7,
1617velv-or-cba1,8096,Tiger Robotics,6,4,100,70,5,,0.40,30.6,26.1,
1617velv-or-cba1,10530,Robotica,7,4,75,47,5,,0.40,15.9,15.2,
1617velv-or-cba1,7497,Blackout,8,4,65,70,5,,0.40,11.6,12.7,
1617velv-or-cba1,10585,LHS Robotics,9,4,55,40,5,,0.40,8.0,7.8,
1617velv-or-cba1,7499,The Nerdy Girls,10,2,60,25,5,,0.20,-8.0,-2.4,
1617velv-or-cba1,12041,Ro-Bros,11,0,100,50,5,,0.00,1.9,5.2,
