TournamentCode,Num,Name,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,
1617velv-or-cbb3,8590,Bear Mettle,1,9,40,55,5,,0.90,22.0,21.1,
1617velv-or-cbb3,7473,The Pride,2,8,75,55,5,,0.80,33.5,29.1,
1617velv-or-cbb3,8154,Modern Americans,3,7,90,35,5,,0.70,11.3,11.4,
1617velv-or-cbb3,10531,BB-8 Builders,4,7,75,40,5,,0.70,17.9,16.9,
1617velv-or-cbb3,12042,Gear Grinders,5,7,50,60,5,,0.70,16.4,16.4,
1617velv-or-cbb3,7498,Elite Squad,6,6,70,45,5,,0.60,15.6,14.2,
1617velv-or-cbb3,9060,Smarties,7,4,80,60,5,,0.40,24.7,21.2,
1617velv-or-cbb3,8890,Stanfield Robotics,8,4,30,50,5,,0.40,1.7,4.0,
1617velv-or-cbb3,7496,Cyberbots,9,3,70,45,5,,0.30,9.1,9.3,
1617velv-or-cbb3,8007,Bulldog Robotics,10,2,65,30,5,,0.20,-1.8,2.0,
1617velv-or-cbb3,10765,M.A.L.E.,11,2,40,20,5,,0.20,0.7,2.2,
1617velv-or-cbb3,12040,Silent Bot Deadly,12,1,75,25,5,,0.10,-0.1,2.7,
