TournamentCode,Num,Name,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,
1617velv-or-pbilt,7013,Hot Wired,1,8,380,220,5,W1,0.80,161.6,134.0,
1617velv-or-pbilt,3965,Twisted Metal,2,8,330,130,5,S1,0.80,83.9,71.8,
1617velv-or-pbilt,8949,The Gifted Gears,3,8,295,190,5,WC,0.80,90.3,81.5,
1617velv-or-pbilt,9520,The Slingshot,4,8,231,90,5,SC,0.80,33.6,33.0,
1617velv-or-pbilt,10652,Robo Rebels,5,7,284,190,5,,0.70,20.5,30.0,
1617velv-or-pbilt,9774,Nano Ninjas,6,6,330,115,5,F1,0.60,41.4,44.4,
1617velv-or-pbilt,8610,ToborTech,7,6,280,165,5,W2,0.60,56.0,51.6,
1617velv-or-pbilt,9519,Musclebots,8,6,225,90,5,,0.60,20.5,22.9,
1617velv-or-pbilt,9531,Short Circuits,9,6,210,115,5,,0.60,24.6,28.2,
1617velv-or-pbilt,3058,Jury Riggers,10,6,203,130,5,S2,0.60,39.7,41.9,
1617velv-or-pbilt,750,Gears in Motion,11,5,326,165,5,F2,0.50,62.6,58.2,
1617velv-or-pbilt,7516,Mr. Roboto,12,5,210,195,5,,0.50,17.7,26.4,
1617velv-or-pbilt,12002,Tualatin FTC,13,4,311,215,5,,0.40,24.2,34.6,
1617velv-or-pbilt,4097,The Pac-Bots,14,4,295,155,5,S1,0.40,56.4,51.6,
1617velv-or-pbilt,267,EMP,15,4,286,220,5,SC,0.40,21.5,30.3,
1617velv-or-pbilt,10565,System Online,16,4,256,155,5,,0.40,54.0,49.7,
1617velv-or-pbilt,9470,Jefferson High School / SEI,17,4,256,85,5,FC,0.40,12.9,19.7,
1617velv-or-pbilt,11170,Central Catholic High School,18,4,241,90,5,,0.40,33.1,34.5,
1617velv-or-pbilt,9231,Big Bots,19,4,215,105,5,,0.40,13.1,18.7,
1617velv-or-pbilt,187,Old Ducks,20,3,216,80,5,,0.30,30.6,29.8,
1617velv-or-pbilt,4560,Phoenix,21,2,163,65,5,S2,0.20,12.7,14.9,
1617velv-or-pbilt,9518,Error,22,2,145,50,5,,0.20,9.5,9.5,
1617velv-or-pbilt,7503,Lightning Bolts,23,0,206,65,5,,0.00,15.0,17.5,
