TournamentCode,Num,Name,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,
1617velv-or-so3,9851,C4,1,10,120,75,5,,1.00,26.8,26.2,
1617velv-or-so3,8372,TNT (Trial N Terror),2,10,115,125,5,,1.00,50.2,47.0,
1617velv-or-so3,7750,M&M's,3,8,165,125,5,,0.80,58.8,51.9,
1617velv-or-so3,7257,Da Builders,4,8,111,80,5,,0.80,31.1,28.5,
1617velv-or-so3,9339,Rogue Mafia,5,6,140,70,5,,0.60,17.6,19.5,
1617velv-or-so3,10135,SHS Robotics,6,4,171,80,5,,0.40,17.2,18.8,
1617velv-or-so3,12132,BioBotz2.0,7,4,116,70,5,,0.40,25.3,23.5,
1617velv-or-so3,11255,TSAR,8,4,105,50,5,,0.40,8.1,10.8,
1617velv-or-so3,9567,Cybernetic Elks,9,4,90,90,5,,0.40,10.9,14.1,
1617velv-or-so3,8161,Short Circuit,10,4,45,45,5,,0.40,9.6,9.4,
1617velv-or-so3,12050,Master Cats,11,2,145,80,5,,0.20,20.3,20.2,
1617velv-or-so3,10274,MPHS Botcats,12,2,110,40,5,,0.20,11.2,11.6,
1617velv-or-so3,4662,Bulldog Robotics,13,0,66,26,5,,0.00,-6.3,-1.0,
