TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,
1617velv-orpo2,9520,The Slingshot,1,10,90,70,5,,1.00,51.4,42.8,
1617velv-orpo2,267,EMP,2,8,72,55,5,,0.80,25.4,21.5,
1617velv-orpo2,7503,Lightning Bolts,3,6,112,50,5,,0.60,20.5,19.7,
1617velv-orpo2,4560,Phoenix,4,6,87,55,5,,0.60,10.8,13.2,
1617velv-orpo2,10652,Robo Rebels,5,4,100,40,5,,0.40,20.4,18.0,
1617velv-orpo2,11170,Central Catholic High School,6,4,100,35,5,,0.40,-0.6,3.1,
1617velv-orpo2,9519,Musclebots,7,4,75,70,5,,0.40,6.4,10.2,
1617velv-orpo2,187,Old Ducks,8,4,75,65,5,,0.40,10.5,12.0,
1617velv-orpo2,9470,Jefferson High School / SEI,9,2,105,40,5,,0.20,14.7,14.0,
1617velv-orpo2,9518,Error,10,2,62,70,5,,0.20,0.9,4.7,
