TournamentMatchCode,Match,Result,Red1,Red2,Red3,Blue1,Blue2,Blue3,RTot,BTot,
1617velv-or-ca1-Q-1,Q-1,20-60 B,11014,10220,0,7878,6590,0,20,60,
1617velv-or-ca1-Q-2,Q-2,37-15 R,11994,8056,0,9123,7044,0,37,15,
1617velv-or-ca1-Q-3,Q-3,5-50 B,12252,6713,0,9474,10220,0,5,50,
1617velv-or-ca1-Q-4,Q-4,10-76 B,11994,12252,0,8056,7878,0,10,76,
1617velv-or-ca1-Q-5,Q-5,50-20 R,9474,9123,0,11014,6590,0,50,20,
1617velv-or-ca1-Q-6,Q-6,10-30 B,7044,11014,0,6713,10220,0,10,30,
1617velv-or-ca1-Q-7,Q-7,35-5 R,9474,6590,0,7044,12252,0,35,5,
1617velv-or-ca1-Q-8,Q-8,40-30 R,7878,6713,0,9123,8056,0,40,30,
1617velv-or-ca1-Q-9,Q-9,15-35 B,6590,6713,0,11994,7878,0,15,35,
1617velv-or-ca1-Q-10,Q-10,50-25 R,9123,11994,0,12252,10220,0,50,25,
1617velv-or-ca1-Q-11,Q-11,55-65 B,8056,7044,0,11014,9474,0,55,65,
1617velv-or-ca1-Q-12,Q-12,40-30 R,9474,12252,0,11014,11994,0,40,30,
1617velv-or-ca1-Q-13,Q-13,20-56 B,10220,6590,0,6713,8056,0,20,56,
1617velv-or-ca1-Q-14,Q-14,65-5 R,9123,7878,0,7044,9474,0,65,5,
1617velv-or-ca1-Q-1,Q-1,20-60 B,11014,10220,0,7878,6590,0,20,60,
1617velv-or-ca1-Q-2,Q-2,37-15 R,11994,8056,0,9123,7044,0,37,15,
1617velv-or-ca1-Q-3,Q-3,5-50 B,12252,6713,0,9474,10220,0,5,50,
1617velv-or-ca1-Q-4,Q-4,10-76 B,11994,12252,0,8056,7878,0,10,76,
1617velv-or-ca1-Q-5,Q-5,50-20 R,9474,9123,0,11014,6590,0,50,20,
1617velv-or-ca1-Q-6,Q-6,10-30 B,7044,11014,0,6713,10220,0,10,30,
1617velv-or-ca1-Q-7,Q-7,35-5 R,9474,6590,0,7044,12252,0,35,5,
1617velv-or-ca1-Q-8,Q-8,40-30 R,7878,6713,0,9123,8056,0,40,30,
1617velv-or-ca1-Q-9,Q-9,15-35 B,6590,6713,0,11994,7878,0,15,35,
1617velv-or-ca1-Q-10,Q-10,50-25 R,9123,11994,0,12252,10220,0,50,25,
1617velv-or-ca1-Q-11,Q-11,55-65 B,8056,7044,0,11014,9474,0,55,65,
1617velv-or-ca1-Q-12,Q-12,40-30 R,9474,12252,0,11014,11994,0,40,30,
1617velv-or-ca1-Q-13,Q-13,20-56 B,10220,6590,0,6713,8056,0,20,56,
1617velv-or-ca1-Q-14,Q-14,65-5 R,9123,7878,0,7044,9474,0,65,5,
