TournamentCode,Num,Name,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,
1617velv-va-ced1,9631,CyberKnights,1,10,135,80,5,WC,1.00,34.1,30.7,
1617velv-va-ced1,4924,Tuxedo Pandas,2,8,140,127,5,W1,0.80,53.8,47.3,
1617velv-va-ced1,9918,RAD,3,7,114,60,5,FC,0.70,25.9,22.0,
1617velv-va-ced1,8094,Robotic Rampage,4,7,85,55,5,SC,0.70,26.5,23.9,
1617velv-va-ced1,3804,Team Snuffleupagus,5,7,74,70,5,SC,0.70,35.0,28.5,
1617velv-va-ced1,7039,Lord of the Bricks,6,6,98,100,5,S1,0.60,32.0,27.6,
1617velv-va-ced1,8474,Wolverines,7,6,78,35,5,,0.60,0.3,3.4,
1617velv-va-ced1,11991,Futaba B,8,6,52,45,5,,0.60,1.6,5.5,
1617velv-va-ced1,10362,RIP: Robots in Powhatan,9,6,36,55,5,S2,0.60,-6.8,0.1,
1617velv-va-ced1,9069,F.A.R.,10,6,34,40,5,S1,0.60,6.5,8.5,
1617velv-va-ced1,6124,Geek Gods,11,6,11,100,5,W2,0.60,25.9,22.6,
1617velv-va-ced1,3668,Smokie Jr.,12,5,72,75,5,,0.50,10.6,12.7,
1617velv-va-ced1,12088,NIght Vipers,13,5,60,55,5,,0.50,2.1,6.1,
1617velv-va-ced1,7217,Hail Hydraulics,14,5,50,30,5,,0.50,3.0,4.6,
1617velv-va-ced1,8095,Bulldogs,15,4,90,75,5,F1,0.40,25.0,22.7,
1617velv-va-ced1,10570,CAT5 CyberCanes,16,4,88,127,5,S2,0.40,27.5,25.2,
1617velv-va-ced1,11368,Robots at the Center of the Universe RATCOTU,17,4,37,70,5,,0.40,11.6,12.9,
1617velv-va-ced1,6295,Big Bang Robotics,18,4,22,80,5,,0.40,9.3,9.8,
1617velv-va-ced1,9337,Aluminati,19,4,20,45,5,,0.40,-2.2,1.1,
1617velv-va-ced1,975,Synergy,20,2,65,40,5,,0.20,6.0,7.3,
1617velv-va-ced1,11484,JMHS Robotics,21,2,40,35,5,,0.20,-4.9,-0.3,
1617velv-va-ced1,5648,TekTwisters 2.0,22,2,39,33,5,F2,0.20,6.1,5.5,
1617velv-va-ced1,7862,Avengineers,23,0,45,15,5,,0.00,0.4,1.5,
