TournamentMatchCode,Match,Result,Red1,Red2,Red3,Blue1,Blue2,Blue3,RTot,BTot,R1Sur,R2Sur,B1Sur,B2Sur,
1617velv-wv-cmp-Q-1,Q-1,20-110 B,10353,5421,0,9872,5414,0,20,110,false,false,false,false,
1617velv-wv-cmp-Q-2,Q-2,65-10 R,8498,4106,0,118,2821,0,65,10,false,false,false,false,
1617velv-wv-cmp-Q-3,Q-3,55-60 B,11362,11261,0,6029,6253,0,55,60,false,false,false,false,
1617velv-wv-cmp-Q-4,Q-4,85-125 B,6700,6987,0,5040,8393,0,85,125,false,false,false,false,
1617velv-wv-cmp-Q-5,Q-5,135-85 R,8645,6054,0,4318,8395,0,135,85,false,false,false,false,
1617velv-wv-cmp-Q-6,Q-6,65-40 R,8297,9872,0,4106,11362,0,65,40,false,false,false,false,
1617velv-wv-cmp-Q-7,Q-7,75-105 B,5414,6987,0,2821,8645,0,75,105,false,false,false,false,
1617velv-wv-cmp-Q-8,Q-8,105-25 R,10353,8393,0,8395,118,0,105,25,false,false,false,false,
1617velv-wv-cmp-Q-9,Q-9,170-40 R,6700,8297,0,6253,8498,0,170,40,false,false,false,false,
1617velv-wv-cmp-Q-10,Q-10,50-120 B,11261,5040,0,6054,5421,0,50,120,false,false,false,false,
1617velv-wv-cmp-Q-11,Q-11,115-75 R,4318,8297,0,6029,10353,0,115,75,false,false,false,false,
1617velv-wv-cmp-Q-12,Q-12,30-45 B,4106,8395,0,6987,11261,0,30,45,true,false,true,false,
1617velv-wv-cmp-Q-13,Q-13,60-55 R,4318,2821,0,6700,9872,0,60,55,true,false,false,false,
1617velv-wv-cmp-Q-14,Q-14,135-55 R,5040,6253,0,118,8645,0,135,55,false,false,false,false,
1617velv-wv-cmp-Q-15,Q-15,60-105 B,5414,6054,0,11362,8393,0,60,105,false,false,false,false,
1617velv-wv-cmp-Q-16,Q-16,40-45 B,8498,6987,0,6029,5421,0,40,45,false,false,false,false,
1617velv-wv-cmp-Q-17,Q-17,125-25 R,6700,6054,0,4106,10353,0,125,25,false,false,false,false,
1617velv-wv-cmp-Q-18,Q-18,125-110 R,11362,5040,0,8498,4318,0,125,110,false,false,false,false,
1617velv-wv-cmp-Q-19,Q-19,135-85 R,8645,6029,0,9872,8393,0,135,85,false,false,false,false,
1617velv-wv-cmp-Q-20,Q-20,90-40 R,118,11261,0,8297,5414,0,90,40,false,false,false,false,
1617velv-wv-cmp-Q-21,Q-21,85-60 R,2821,5421,0,8395,6253,0,85,60,false,false,false,false,
1617velv-wv-cmp-Q-22,Q-22,55-175 B,6029,4106,0,5414,5040,0,55,175,false,false,false,false,
1617velv-wv-cmp-Q-23,Q-23,150-65 R,4318,8393,0,2821,8297,0,150,65,false,false,false,false,
1617velv-wv-cmp-Q-24,Q-24,55-110 B,8395,5421,0,11362,6700,0,55,110,false,false,false,false,
1617velv-wv-cmp-Q-25,Q-25,25-30 B,9872,118,0,6987,6054,0,25,30,false,false,false,false,
1617velv-wv-cmp-Q-26,Q-26,135-10 R,10353,8645,0,11261,8498,0,135,10,false,false,false,false,
1617velv-wv-cmp-Q-27,Q-27,130-70 R,6253,4106,0,6987,4318,0,130,70,false,false,false,false,
1617velv-wv-cmp-SF-1-1,SF-1-1,165-110 R,5040,5414,8297,6054,11362,6700,165,110,false,false,false,false,
1617velv-wv-cmp-SF-2-1,SF-2-1,200-115 R,8393,4318,6029,8645,6253,9872,200,115,false,false,false,false,
1617velv-wv-cmp-SF-1-2,SF-1-2,110-140 B,5040,5414,8297,6054,11362,6700,110,140,false,false,false,false,
1617velv-wv-cmp-SF-2-2,SF-2-2,75-145 B,8393,4318,6029,8645,6253,9872,75,145,false,false,false,false,
1617velv-wv-cmp-SF-1-3,SF-1-3,90-160 B,5040,5414,8297,6054,11362,6700,90,160,false,false,false,false,
1617velv-wv-cmp-SF-2-3,SF-2-3,155-130 R,8393,4318,6029,8645,6253,9872,155,130,false,false,false,false,
1617velv-wv-cmp-F-1,F-1,145-140 R,6054,11362,6700,8393,4318,6029,145,140,false,false,false,false,
1617velv-wv-cmp-F-2,F-2,170-100 R,6054,11362,6700,8393,4318,6029,170,100,false,false,false,false,
