TournamentMatchCode,Match,Result,Red1,Red2,Red3,Blue1,Blue2,Blue3,RTot,BTot,R1Sur,R2Sur,B1Sur,B2Sur,
1617velv-casd-gr-Q-1,Q-1,80-70 R,10092,3848,0,9892,7542,0,80,70,false,false,false,false,
1617velv-casd-gr-Q-2,Q-2,155-80 R,5828,7696,0,8000,8606,0,155,80,false,false,false,false,
1617velv-casd-gr-Q-3,Q-3,105-80 R,8605,8039,0,11411,8472,0,105,80,false,false,false,false,
1617velv-casd-gr-Q-4,Q-4,100-30 R,11285,11128,0,5135,6003,0,100,30,false,false,false,false,
1617velv-casd-gr-Q-5,Q-5,60-115 B,11411,5828,0,11212,9892,0,60,115,false,false,false,false,
1617velv-casd-gr-Q-6,Q-6,36-105 B,8039,5135,0,7696,3848,0,36,105,false,false,false,false,
1617velv-casd-gr-Q-7,Q-7,40-20 R,8472,8000,0,10092,11285,0,40,20,false,false,false,false,
1617velv-casd-gr-Q-8,Q-8,120-155 B,8606,8605,0,11212,6003,0,120,155,false,false,false,false,
1617velv-casd-gr-Q-9,Q-9,80-200 B,7542,5828,0,11128,7696,0,80,200,false,false,false,false,
1617velv-casd-gr-Q-10,Q-10,75-70 R,8000,9892,0,6003,8605,0,75,70,false,false,false,false,
1617velv-casd-gr-Q-11,Q-11,40-170 B,11285,11411,0,7542,8606,0,40,170,false,false,false,false,
1617velv-casd-gr-Q-12,Q-12,60-90 B,10092,8472,0,3848,11128,0,60,90,false,false,false,false,
1617velv-casd-gr-Q-13,Q-13,65-45 R,11212,5135,0,8039,8000,0,65,45,false,false,false,false,
1617velv-casd-gr-Q-14,Q-14,135-80 R,7696,6003,0,10092,11411,0,135,80,false,false,false,false,
1617velv-casd-gr-Q-15,Q-15,115-52 R,11212,8472,0,5135,7542,0,115,52,false,false,false,false,
1617velv-casd-gr-Q-16,Q-16,170-70 R,8606,11128,0,9892,8039,0,170,70,false,false,false,false,
1617velv-casd-gr-Q-17,Q-17,150-85 R,11285,3848,0,5828,8605,0,150,85,false,false,false,false,
1617velv-casd-gr-Q-18,Q-18,55-81 B,9892,11411,0,5135,8472,0,55,81,false,false,false,false,
1617velv-casd-gr-Q-19,Q-19,50-20 R,8039,10092,0,11285,5828,0,50,20,false,false,false,false,
1617velv-casd-gr-Q-20,Q-20,105-75 R,7542,11128,0,8000,8605,0,105,75,false,false,false,false,
1617velv-casd-gr-Q-21,Q-21,165-60 R,11212,7696,0,3848,6003,0,165,60,false,false,false,false,
1617velv-casd-gr-Q-22,Q-22,55-90 B,8606,5135,0,8605,10092,0,55,90,false,false,false,false,
1617velv-casd-gr-Q-23,Q-23,50-45 R,9892,6003,0,8039,7542,0,50,45,false,false,false,false,
1617velv-casd-gr-Q-24,Q-24,95-85 R,3848,8000,0,8606,11411,0,95,85,false,false,false,false,
1617velv-casd-gr-Q-25,Q-25,135-125 R,11212,11128,0,11285,7696,0,135,125,false,false,false,false,
1617velv-casd-gr-Q-26,Q-26,20-25 B,5828,8000,0,8472,6003,0,20,25,false,false,false,false,
