TournamentMatchCode,Match,Result,Red1,Red2,Red3,Blue1,Blue2,Blue3,RTot,BTot,R1Sur,R2Sur,B1Sur,B2Sur,
1617velv-casd-lj2-Q-1,Q-1,45-11 R,7542,11107,0,6003,12405,0,45,11,false,false,false,false,
1617velv-casd-lj2-Q-2,Q-2,50-15 R,3650,9261,0,8472,5540,0,50,15,false,false,false,false,
1617velv-casd-lj2-Q-3,Q-3,90-135 B,10809,5229,0,8097,5828,0,90,135,false,false,false,false,
1617velv-casd-lj2-Q-4,Q-4,25-40 B,9367,11328,0,12406,7542,0,25,40,false,false,false,false,
1617velv-casd-lj2-Q-5,Q-5,36-95 B,6003,5828,0,8472,8097,0,36,95,false,false,false,false,
1617velv-casd-lj2-Q-6,Q-6,60-25 R,12405,12406,0,5229,9261,0,60,25,false,false,false,false,
1617velv-casd-lj2-Q-7,Q-7,120-40 R,10809,3650,0,11328,11107,0,120,40,false,false,false,false,
1617velv-casd-lj2-Q-8,Q-8,11-30 B,5540,6003,0,9367,5828,0,11,30,false,false,false,false,
1617velv-casd-lj2-Q-9,Q-9,50-0 R,5229,8472,0,11328,7542,0,50,0,true,false,true,false,
1617velv-casd-lj2-Q-10,Q-10,20-65 B,12405,9261,0,9367,10809,0,20,65,false,false,false,false,
1617velv-casd-lj2-Q-11,Q-11,60-20 R,8097,5540,0,11107,12406,0,60,20,false,false,false,false,
1617velv-casd-lj2-Q-12,Q-12,60-50 R,3650,6003,0,11328,10809,0,60,50,false,false,false,false,
1617velv-casd-lj2-Q-13,Q-13,55-15 R,11107,8472,0,9367,5229,0,55,15,false,false,false,false,
1617velv-casd-lj2-Q-14,Q-14,65-65 T,7542,8097,0,5540,9261,0,65,65,false,false,false,false,
1617velv-casd-lj2-Q-15,Q-15,55-15 R,5828,12406,0,12405,3650,0,55,15,false,false,false,false,
1617velv-casd-lj2-Q-16,Q-16,20-91 B,5229,5540,0,10809,6003,0,20,91,false,false,false,false,
1617velv-casd-lj2-Q-17,Q-17,30-95 B,9367,7542,0,3650,5828,0,30,95,false,false,false,false,
1617velv-casd-lj2-Q-18,Q-18,25-110 B,11328,8472,0,12405,8097,0,25,110,false,false,false,false,
1617velv-casd-lj2-Q-19,Q-19,65-21 R,12406,9261,0,11107,6003,0,65,21,false,false,false,false,
1617velv-casd-lj2-Q-20,Q-20,65-110 B,9367,3650,0,5229,8097,0,65,110,false,false,false,false,
1617velv-casd-lj2-Q-21,Q-21,10-100 B,5828,11328,0,11107,9261,0,10,100,false,false,false,false,
1617velv-casd-lj2-Q-22,Q-22,75-10 R,10809,12406,0,8472,7542,0,75,10,false,false,false,false,
1617velv-casd-lj2-Q-23,Q-23,35-10 R,12405,5229,0,5540,11328,0,35,10,false,false,false,false,
