TournamentMatchCode,Match,Result,Red1,Red2,Red3,Blue1,Blue2,Blue3,RTot,BTot,R1Sur,R2Sur,B1Sur,B2Sur,
1617velv-casd-cmp-Q-1,Q-1,155-210 B,8742,9920,0,9441,5540,0,155,210,false,false,false,false,
1617velv-casd-cmp-Q-2,Q-2,55-165 B,9022,9892,0,3848,11411,0,55,165,false,false,false,false,
1617velv-casd-cmp-Q-3,Q-3,50-35 R,6016,8097,0,12073,5229,0,50,35,false,false,false,false,
1617velv-casd-cmp-Q-4,Q-4,250-95 R,9261,4216,0,11212,10221,0,250,95,false,false,false,false,
1617velv-casd-cmp-Q-5,Q-5,100-160 B,4262,11278,0,8039,7696,0,100,160,false,false,false,false,
1617velv-casd-cmp-Q-6,Q-6,35-155 B,3650,6074,0,6137,3712,0,35,155,false,false,false,false,
1617velv-casd-cmp-Q-7,Q-7,195-95 R,9164,8606,0,5135,2885,0,195,95,false,false,false,false,
1617velv-casd-cmp-Q-8,Q-8,15-185 B,5015,10809,0,10092,11107,0,15,185,false,false,false,false,
1617velv-casd-cmp-Q-9,Q-9,90-150 B,9049,11128,0,5828,8471,0,90,150,false,false,false,false,
1617velv-casd-cmp-Q-10,Q-10,85-65 R,5540,9892,0,11278,10221,0,85,65,false,false,false,false,
1617velv-casd-cmp-Q-11,Q-11,70-220 B,9022,3712,0,7696,8742,0,70,220,false,false,false,false,
1617velv-casd-cmp-Q-12,Q-12,140-130 R,9441,12073,0,2885,11212,0,140,130,false,false,false,false,
1617velv-casd-cmp-Q-13,Q-13,20-125 B,4262,6016,0,9920,9164,0,20,125,false,false,false,false,
1617velv-casd-cmp-Q-14,Q-14,55-115 B,8039,5135,0,11128,6137,0,55,115,false,false,false,false,
1617velv-casd-cmp-Q-15,Q-15,150-125 R,8606,10092,0,5229,8471,0,150,125,false,false,false,false,
1617velv-casd-cmp-Q-16,Q-16,145-135 R,11107,11411,0,8097,9261,0,145,135,false,false,false,false,
1617velv-casd-cmp-Q-17,Q-17,85-135 B,6074,10809,0,4216,5828,0,85,135,false,false,false,false,
1617velv-casd-cmp-Q-18,Q-18,20-125 B,3848,5015,0,9049,3650,0,20,125,false,false,false,false,
1617velv-casd-cmp-Q-19,Q-19,85-56 R,9441,10221,0,5135,3712,0,85,56,false,false,false,false,
1617velv-casd-cmp-Q-20,Q-20,55-35 R,2885,9022,0,8039,6016,0,55,35,false,false,false,false,
1617velv-casd-cmp-Q-21,Q-21,130-130 T,8606,7696,0,5540,8097,0,130,130,false,false,false,false,
1617velv-casd-cmp-Q-22,Q-22,140-40 R,11107,11278,0,6074,11128,0,140,40,false,false,false,false,
1617velv-casd-cmp-Q-23,Q-23,95-120 B,6137,8471,0,5015,9920,0,95,120,false,false,false,false,
1617velv-casd-cmp-Q-24,Q-24,15-195 B,5229,11411,0,10809,9164,0,15,195,false,false,false,false,
