TournamentCode,Num,Name,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,
1617velv-casd-gr,11212,The Clueless,1,12,462,165,6,,1.00,79.9,74.5,
1617velv-casd-gr,11128,Inspiration,2,12,440,200,6,,1.00,69.4,68.4,
1617velv-casd-gr,7696,RSF Singularity,3,10,461,200,6,,0.83,102.0,93.1,
1617velv-casd-gr,3848,Shockwave,4,10,396,150,6,,0.83,53.2,51.0,
1617velv-casd-gr,6003,Techno Eagles,5,8,425,155,7,,0.57,21.9,26.3,
1617velv-casd-gr,8472,ROBOTATOES,6,8,287,115,6,,0.67,37.1,35.8,
1617velv-casd-gr,8000,Team Paradox3,7,6,395,95,7,,0.43,17.1,21.2,
1617velv-casd-gr,9892,EngiNERDs,8,6,370,115,6,,0.50,35.2,35.7,
1617velv-casd-gr,10092,Green.Griffins,9,6,305,90,6,,0.50,24.7,27.5,
1617velv-casd-gr,8605,RSF Logitechies,10,4,485,120,6,,0.33,59.3,55.4,
1617velv-casd-gr,8606,RSF Intergalactic Dragons,11,4,450,170,6,,0.33,75.2,69.7,
1617velv-casd-gr,7542,OLP MicroChicks,12,4,362,170,6,,0.33,47.9,46.3,
1617velv-casd-gr,11285,PATENT PENDING,13,4,320,150,6,,0.33,25.5,28.5,
1617velv-casd-gr,8039,Return of the Adrenaline Snails,14,4,296,105,6,,0.33,27.0,27.9,
1617velv-casd-gr,5135,Team Uncopyrightable,15,4,273,81,6,,0.33,5.0,11.5,
1617velv-casd-gr,5828,E.M.P. Chaos,16,2,345,155,6,,0.17,23.1,26.6,
1617velv-casd-gr,11411,Cherry Pi,17,0,400,85,6,,0.00,29.9,31.2,
