TournamentMatchCode,Match,Result,Red1,Red2,Red3,Blue1,Blue2,Blue3,RTot,BTot,R1Sur,R2Sur,B1Sur,B2Sur,
1617velv-casd-fp1-Q-1,Q-1,21-0 R,8000,8039,0,10564,8380,0,21,0,false,false,false,false,
1617velv-casd-fp1-Q-2,Q-2,10-40 B,5131,9266,0,11278,10092,0,10,40,false,false,false,false,
1617velv-casd-fp1-Q-3,Q-3,70-20 R,11285,5229,0,5540,11107,0,70,20,false,false,false,false,
1617velv-casd-fp1-Q-4,Q-4,12-20 B,9261,5135,0,4262,5131,0,12,20,false,false,false,false,
1617velv-casd-fp1-Q-5,Q-5,40-20 R,9266,5540,0,8380,8000,0,40,20,false,false,false,false,
1617velv-casd-fp1-Q-6,Q-6,41-0 R,5229,5135,0,11278,10564,0,41,0,false,false,false,false,
1617velv-casd-fp1-Q-7,Q-7,31-40 B,11107,8039,0,10092,9261,0,31,40,false,false,false,false,
1617velv-casd-fp1-Q-8,Q-8,2-0 R,4262,5135,0,11285,8000,0,2,0,false,false,false,false,
1617velv-casd-fp1-Q-9,Q-9,0-40 B,9261,10564,0,5131,5540,0,0,40,true,false,true,false,
1617velv-casd-fp1-Q-10,Q-10,10-20 B,11285,11278,0,10092,8380,0,10,20,false,false,false,false,
1617velv-casd-fp1-Q-11,Q-11,40-26 R,4262,5229,0,9266,8039,0,40,26,false,false,false,false,
1617velv-casd-fp1-Q-12,Q-12,45-25 R,11107,10092,0,8000,10564,0,45,25,false,false,false,false,
1617velv-casd-fp1-Q-13,Q-13,2-52 B,5131,11285,0,8039,5229,0,2,52,false,false,false,false,
1617velv-casd-fp1-Q-14,Q-14,30-10 R,9261,5540,0,9266,5135,0,30,10,false,false,false,false,
1617velv-casd-fp1-Q-15,Q-15,0-20 B,8380,11278,0,11107,4262,0,0,20,false,false,false,false,
1617velv-casd-fp1-Q-16,Q-16,0-54 B,10564,9266,0,11285,8039,0,0,54,false,false,false,false,
1617velv-casd-fp1-Q-17,Q-17,50-11 R,5229,8380,0,5135,10092,0,50,11,false,false,false,false,
1617velv-casd-fp1-Q-18,Q-18,5-40 B,5131,11107,0,4262,5540,0,5,40,false,false,false,false,
1617velv-casd-fp1-Q-19,Q-19,50-10 R,8000,11278,0,9261,11285,0,50,10,false,false,false,false,
1617velv-casd-fp1-Q-20,Q-20,11-5 R,5131,5135,0,11107,9266,0,11,5,false,false,false,false,
1617velv-casd-fp1-Q-21,Q-21,50-20 R,10092,10564,0,4262,9261,0,50,20,false,false,false,false,
1617velv-casd-fp1-Q-22,Q-22,15-31 B,8000,5540,0,11278,8039,0,15,31,false,false,false,false,
1617velv-casd-fp1-Q-23,Q-23,20-40 B,8380,9261,0,5229,5131,0,20,40,false,false,false,false,
