TournamentMatchCode,Match,Result,Red1,Red2,Red3,Blue1,Blue2,Blue3,RTot,BTot,R1Sur,R2Sur,B1Sur,B2Sur,
1617velv-casd-set-Q-1,Q-1,50-60 B,8906,9164,0,11212,6074,0,50,60,false,false,false,false,
1617velv-casd-set-Q-2,Q-2,80-60 R,3848,12073,0,4216,11411,0,80,60,false,false,false,false,
1617velv-casd-set-Q-3,Q-3,11-30 B,11288,5131,0,11350,9266,0,11,30,false,false,false,false,
1617velv-casd-set-Q-4,Q-4,60-30 R,11656,4262,0,10221,3848,0,60,30,false,false,false,false,
1617velv-casd-set-Q-5,Q-5,10-5 R,11411,9266,0,11350,8906,0,10,5,false,false,false,false,
1617velv-casd-set-Q-6,Q-6,41-45 B,12073,5131,0,10221,11212,0,41,45,false,false,false,false,
1617velv-casd-set-Q-7,Q-7,55-35 R,6074,4216,0,11288,4262,0,55,35,false,false,false,false,
1617velv-casd-set-Q-8,Q-8,45-75 B,11656,11350,0,9164,12073,0,45,75,false,false,false,false,
1617velv-casd-set-Q-9,Q-9,25-90 B,11288,6074,0,3848,11411,0,25,90,true,false,true,false,
1617velv-casd-set-Q-10,Q-10,60-45 R,4262,5131,0,8906,11656,0,60,45,false,false,false,false,
1617velv-casd-set-Q-11,Q-11,85-70 R,10221,4216,0,9164,9266,0,85,70,false,false,false,false,
1617velv-casd-set-Q-12,Q-12,125-10 R,11212,11656,0,11411,11288,0,125,10,false,false,false,false,
1617velv-casd-set-Q-13,Q-13,30-30 T,12073,9266,0,6074,3848,0,30,30,false,false,false,false,
1617velv-casd-set-Q-14,Q-14,130-25 R,9164,4216,0,8906,5131,0,130,25,false,false,false,false,
1617velv-casd-set-Q-15,Q-15,61-80 B,10221,11350,0,4262,11212,0,61,80,false,false,false,false,
1617velv-casd-set-Q-16,Q-16,50-40 R,9266,8906,0,12073,11656,0,50,40,false,false,false,false,
1617velv-casd-set-Q-17,Q-17,40-1 R,6074,11411,0,10221,5131,0,40,1,false,false,false,false,
1617velv-casd-set-Q-18,Q-18,65-90 B,11350,11212,0,3848,4216,0,65,90,false,false,false,false,
1617velv-casd-set-Q-19,Q-19,65-65 T,9164,11288,0,4262,12073,0,65,65,false,false,false,false,
1617velv-casd-set-Q-20,Q-20,31-90 B,6074,11656,0,4216,11350,0,31,90,false,false,false,false,
1617velv-casd-set-Q-21,Q-21,80-65 R,3848,11288,0,9164,5131,0,80,65,false,false,false,false,
1617velv-casd-set-Q-22,Q-22,120-45 R,11411,11212,0,9266,4262,0,120,45,false,false,false,false,
1617velv-casd-set-Q-23,Q-23,35-32 R,8906,3848,0,10221,11288,0,35,32,false,false,false,false,
