TournamentMatchCode,Match,Result,Red1,Red2,Red3,Blue1,Blue2,Blue3,RTot,BTot,R1Sur,R2Sur,B1Sur,B2Sur,
1617velv-casd-bg-Q-1,Q-1,70-155 B,2885,12073,0,5229,4216,0,70,155,false,false,false,false,
1617velv-casd-bg-Q-2,Q-2,90-105 B,9920,9441,0,5015,8097,0,90,105,false,false,false,false,
1617velv-casd-bg-Q-3,Q-3,60-125 B,11288,9049,0,9261,10809,0,60,125,false,false,false,false,
1617velv-casd-bg-Q-4,Q-4,95-40 R,11656,9441,0,6226,12073,0,95,40,false,false,false,false,
1617velv-casd-bg-Q-5,Q-5,55-55 T,5015,9261,0,5229,2885,0,55,55,false,false,false,false,
1617velv-casd-bg-Q-6,Q-6,170-140 R,6226,4216,0,10809,9920,0,170,140,false,false,false,false,
1617velv-casd-bg-Q-7,Q-7,65-50 R,11656,9049,0,8097,11288,0,65,50,false,false,false,false,
1617velv-casd-bg-Q-8,Q-8,115-110 R,9920,9261,0,12073,9441,0,115,110,false,false,false,false,
1617velv-casd-bg-Q-9,Q-9,90-90 T,10809,6226,0,8097,2885,0,90,90,false,false,false,false,
1617velv-casd-bg-Q-10,Q-10,55-170 B,5015,11288,0,11656,4216,0,55,170,false,false,false,false,
1617velv-casd-bg-Q-11,Q-11,145-65 R,9049,8097,0,5229,12073,0,145,65,false,false,false,false,
1617velv-casd-bg-Q-12,Q-12,200-80 R,10809,4216,0,9441,9261,0,200,80,false,false,false,false,
1617velv-casd-bg-Q-13,Q-13,30-80 B,11656,5015,0,9049,2885,0,30,80,false,false,false,false,
1617velv-casd-bg-Q-14,Q-14,75-115 B,5229,11288,0,6226,9920,0,75,115,false,false,false,false,
1617velv-casd-bg-Q-15,Q-15,75-200 B,8097,11656,0,9261,4216,0,75,200,false,false,false,false,
1617velv-casd-bg-Q-16,Q-16,50-145 B,6226,2885,0,9920,9049,0,50,145,false,false,false,false,
1617velv-casd-bg-Q-17,Q-17,100-10 R,11288,10809,0,12073,5015,0,100,10,false,false,false,false,
1617velv-casd-bg-Q-18,Q-18,25-145 B,5229,9049,0,9441,4216,0,25,145,false,false,false,false,
1617velv-casd-bg-Q-19,Q-19,105-75 R,12073,9261,0,5015,6226,0,105,75,false,false,false,false,
1617velv-casd-bg-Q-20,Q-20,80-140 B,5229,9920,0,11656,10809,0,80,140,false,false,false,false,
1617velv-casd-bg-Q-21,Q-21,40-40 T,9441,8097,0,2885,11288,0,40,40,false,false,false,false,
