TournamentMatchCode,Match,Result,Red1,Red2,Red3,Blue1,Blue2,Blue3,RTot,BTot, 
1617velv-ak-sa-Q-9,Q-9,21-30 B,5247,5215,0,10513,4955,0,21,30,
1617velv-ak-sa-Q-10,Q-10,80-50 R,3492,10998,0,4539,5394,0,80,50,
1617velv-ak-sa-Q-11,Q-11,20-32 B,4954,10513,0,4951,5215,0,20,32,
1617velv-ak-sa-Q-12,Q-12,10-75 B,4955,5247,0,5530,10610,0,10,75,
1617velv-ak-sa-Q-13,Q-13,34-55 B,10513,4951,0,3492,5394,0,34,55,
1617velv-ak-sa-Q-14,Q-14,25-25 T,10610,4954,0,4955,4539,0,25,25,
1617velv-ak-sa-Q-15,Q-15,42-55 B,5215,5530,0,5247,10998,0,42,55,
1617velv-ak-er2-Q-1,Q-1,95-50 R,9019,3208,0,6695,11168,0,95,50,
1617velv-ak-er2-Q-2,Q-2,22-43 B,6112,4951,0,9180,8539,0,22,43,
1617velv-ak-er2-Q-3,Q-3,10-53 B,7388,10991,0,5532,5664,0,10,53,
1617velv-ak-er2-Q-4,Q-4,35-25 R,8539,9019,0,9180,6695,0,35,25,
1617velv-ak-er2-Q-5,Q-5,21-40 B,10991,6112,0,3208,5664,0,21,40,
1617velv-ak-er2-Q-6,Q-6,65-30 R,11168,5532,0,7388,4951,0,65,30,
1617velv-ak-er2-Q-7,Q-7,40-70 B,5664,9180,0,6695,3208,0,40,70,
1617velv-ak-er2-Q-8,Q-8,55-55 T,8539,10991,0,11168,7388,0,55,55,
1617velv-ak-er2-Q-9,Q-9,34-31 R,4951,5532,0,9019,6112,0,34,31,
1617velv-ak-er2-Q-10,Q-10,70-30 R,9180,11168,0,10991,5664,0,70,30,
1617velv-ak-er2-Q-11,Q-11,25-11 R,9019,6695,0,7388,6112,0,25,11,
1617velv-ak-er2-Q-12,Q-12,75-30 R,5532,3208,0,4951,8539,0,75,30,
1617velv-ak-er2-Q-13,Q-13,18-105 B,6695,6112,0,11168,10991,0,18,105,
1617velv-ak-er2-Q-14,Q-14,30-60 B,5664,8539,0,4951,9019,0,30,60,
1617velv-ak-er2-Q-15,Q-15,25-57 B,7388,5532,0,3208,9180,0,25,57,
1617velv-ak-lcmpsc-Q-1,Q-1,45-35 R,9180,5394,0,3492,9019,0,45,35,
1617velv-ak-lcmpsc-Q-2,Q-2,11-40 B,5664,7388,0,8539,5530,0,11,40,
1617velv-ak-lcmpsc-Q-3,Q-3,155-45 R,5215,11168,0,4951,10502,0,155,45,
1617velv-ak-lcmpsc-Q-4,Q-4,10-45 B,4539,4955,0,10610,5247,0,10,45,
1617velv-ak-lcmpsc-Q-5,Q-5,70-20 R,3208,6112,0,4954,10991,0,70,20,
1617velv-ak-lcmpsc-Q-6,Q-6,75-0 R,10998,9781,0,10513,6695,0,75,0,
1617velv-ak-lcmpsc-Q-7,Q-7,35-150 B,5532,9019,0,8539,11168,0,35,150,
1617velv-ak-lcmpsc-Q-8,Q-8,21-65 B,4955,5664,0,5394,4951,0,21,65,
1617velv-ak-lcmpsc-Q-9,Q-9,20-56 B,5247,5530,0,9180,10991,0,20,56,
1617velv-ak-lcmpsc-Q-10,Q-10,35-51 B,4954,6695,0,5215,4539,0,35,51,
1617velv-ak-lcmpsc-Q-11,Q-11,0-85 B,10502,10513,0,7388,3208,0,0,85,
1617velv-ak-lcmpsc-Q-12,Q-12,70-85 B,6112,9781,0,3492,10610,0,70,85,
1617velv-ak-lcmpsc-Q-13,Q-13,60-26 R,10998,10991,0,5532,5664,0,60,26,
1617velv-ak-lcmpsc-Q-14,Q-14,35-145 B,5530,4954,0,11168,5394,0,35,145,
1617velv-ak-lcmpsc-Q-15,Q-15,40-32 R,4955,6695,0,10502,8539,0,40,32,
1617velv-ak-lcmpsc-Q-16,Q-16,30-70 B,4539,10513,0,4951,6112,0,30,70,
1617velv-ak-lcmpsc-Q-17,Q-17,20-135 B,10610,9019,0,5215,10998,0,20,135,
1617velv-ak-lcmpsc-Q-18,Q-18,90-56 R,3492,3208,0,5247,5532,0,90,56,
1617velv-ak-lcmpsc-Q-19,Q-19,40-25 R,9781,9180,0,7388,4954,0,40,25,
1617velv-ak-lcmpsc-Q-20,Q-20,59-75 B,6112,5664,0,11168,6695,0,59,75,
1617velv-ak-lcmpsc-Q-21,Q-21,50-60 B,10513,9019,0,4955,5530,0,50,60,
1617velv-ak-lcmpsc-Q-22,Q-22,45-65 B,10502,3492,0,4539,10991,0,45,65,
1617velv-ak-lcmpsc-Q-23,Q-23,50-70 B,3208,8539,0,10998,9180,0,50,70,
1617velv-ak-lcmpsc-Q-24,Q-24,40-39 R,4951,7388,0,10610,5532,0,40,39,
1617velv-ak-lcmpsc-Q-25,Q-25,67-40 R,5215,5394,0,5247,9781,0,67,40,
1617velv-ak-lcmpsc-Q-26,Q-26,10-80 B,10502,4539,0,9019,5664,0,10,80,
1617velv-ak-lcmpsc-Q-27,Q-27,40-60 B,8539,4954,0,3492,10513,0,40,60,
1617velv-ak-lcmpsc-Q-28,Q-28,40-37 R,9180,5532,0,6112,4955,0,40,37,
1617velv-ak-lcmpsc-Q-29,Q-29,85-75 R,5247,11168,0,7388,10998,0,85,75,
1617velv-ak-lcmpsc-Q-30,Q-30,30-35 B,10991,10610,0,6695,5394,0,30,35,
1617velv-ak-lcmpsc-Q-31,Q-31,110-50 R,9781,4951,0,5530,3208,0,110,50,
1617velv-ak-lcmpsc-Q-32,Q-32,32-36 B,5215,3492,0,9180,5664,0,32,36,
1617velv-ak-lcmpsc-SF-1-1,SF-1-1,120-100 R,11168,3208,8539,5394,5215,5530,120,100,
1617velv-ak-lcmpsc-SF-1-2,SF-1-2,85-105 B,11168,3208,8539,5394,5215,5530,85,105,
1617velv-ak-lcmpsc-SF-1-3,SF-1-3,135-65 R,11168,3208,8539,5394,5215,5530,135,65,
1617velv-ak-lcmpsc-SF-2-1,SF-2-1,105-45 R,9180,9019,4955,3492,10998,4951,105,45,
1617velv-ak-lcmpsc-SF-2-2,SF-2-2,25-90 B,9180,9019,4955,3492,10998,4951,25,90,
1617velv-ak-lcmpsc-SF-2-3,SF-2-3,70-85 B,9180,9019,4955,3492,10998,4951,70,85,
1617velv-ak-lcmpsc-F-1,F-1,85-105 B,11168,3208,8539,3492,10998,4951,85,105,
1617velv-ak-lcmpsc-F-2,F-2,220-65 R,11168,3208,8539,3492,10998,4951,220,65,
1617velv-ak-lcmpsc-F-3,F-3,130-85 R,11168,3208,8539,3492,10998,4951,130,85,
1617velv-casd-lj1-Q-1,Q-1,70-46 R,4216,11411,0,3712,3650,0,70,46,
1617velv-casd-lj1-Q-2,Q-2,30-100 B,9837,3513,0,4278,12073,0,30,100,
1617velv-casd-lj1-Q-3,Q-3,65-5 R,8742,11288,0,9367,7159,0,65,5,
1617velv-casd-lj1-Q-4,Q-4,46-80 B,11128,9837,0,8097,10809,0,46,80,
1617velv-casd-lj1-Q-5,Q-5,5-90 B,8742,9367,0,3513,4216,0,5,90,
1617velv-casd-lj1-Q-6,Q-6,30-10 R,12073,11128,0,11411,3650,0,30,10,
1617velv-casd-lj1-Q-7,Q-7,15-5 R,11288,8097,0,3712,4278,0,15,5,
1617velv-casd-lj1-Q-8,Q-8,5-75 B,7159,11411,0,10809,9367,0,5,75,
1617velv-casd-lj1-Q-9,Q-9,36-40 B,3712,11128,0,12073,11288,0,36,40,
1617velv-casd-lj1-Q-10,Q-10,35-130 B,3513,4278,0,10809,3650,0,35,130,
1617velv-casd-lj1-Q-11,Q-11,60-30 R,4216,8742,0,9837,8097,0,60,30,
1617velv-casd-lj1-Q-12,Q-12,45-55 B,7159,11128,0,3513,12073,0,45,55,
1617velv-casd-lj1-Q-13,Q-13,70-5 R,4278,10809,0,3712,9367,0,70,5,
1617velv-casd-lj1-Q-14,Q-14,10-35 B,11288,11411,0,4216,8097,0,10,35,
1617velv-casd-lj1-Q-15,Q-15,20-0 R,3650,9837,0,8742,7159,0,20,0,
1617velv-casd-lj1-Q-16,Q-16,85-20 R,12073,10809,0,11288,4216,0,85,20,
1617velv-casd-lj1-Q-17,Q-17,21-10 R,8097,3712,0,7159,3513,0,21,10,
1617velv-casd-lj1-Q-18,Q-18,0-60 B,8742,4278,0,11411,11128,0,0,60,
1617velv-casd-lj1-Q-19,Q-19,55-24 R,3650,9367,0,9837,3712,0,55,24,
1617velv-casd-lj1-Q-20,Q-20,45-60 B,4216,7159,0,11128,4278,0,45,60,
1617velv-casd-lj1-Q-21,Q-21,50-75 B,8097,9367,0,3650,12073,0,50,75,
1617velv-casd-lj1-Q-22,Q-22,40-0 R,11288,3513,0,9837,11411,0,40,0,
1617velv-casd-lj1-Q-23,Q-23,76-50 R,10809,3712,0,8742,12073,0,76,50,
1617velv-casd-fp1-Q-1,Q-1,21-0 R,8000,8039,0,10564,8380,0,21,0,
