Date,Event Name,Event Region,Event Type,Division,Match Type,Match Number,Red Team 1,Red Team 2,Red Team 3,Blue Team 1,Blue Team 2,Blue Team 3,Red 1 no show / DQ ,Red 2 no show / DQ ,Red 3 no show / DQ ,Red 1 Yellow Card,Red 2 Yellow Card,Red 3 Yellow Card,Blue 1 no show / DQ ,Blue 2 no show / DQ ,Blue 3 no show / DQ ,Blue 1 Yellow Card,Blue 2 Yellow Card,Blue 3 Yellow Card,Red 1 Surrogate,Red 2 Surrogate,Red 3 Surrogate,Blue 1 Surrogate,Blue 2 Surrogate,Blue 3 Surrogate,Match saved flag,Autonomous Beacon Claimed,Autonomous Cap Ball removed,Autonomous particles scored in Center Vortex,Autonomous Particles scored in Corner Vortex,Autonomous Robot 1 location,Autonomous Robot 2 location,Driver controlled Beacons Claimed,Driver Controlled – Particles Scored in Center Vortex,Driver Controlled – Particles scored in Corner Vortex,End Game – Cap Ball,Minor Penalty Incurred,Major Penalty Incurred,Minor Penalty Awarded,Major Penalty Awarded,Autonomous Beacon Claimed,Autonomous Cap Ball removed,Autonomous particles scored in Center Vortex,Autonomous Particles scored in Corner Vortex,Autonomous Robot 1 location,Autonomous Robot 2 location,Driver controlled Beacons Claimed,Driver Controlled – Particles Scored in Center Vortex,Driver Controlled – Particles scored in Corner Vortex,End Game – Cap Ball,Minor Penalty Incurred,Major Penalty Incurred,Minor Penalty Awarded,Major Penalty Awarded
12/10/2016,Anchorage/Mat-Su Qualifier II,Alaksa,Qualifying Tournament,1,1,11,6695,12234,0,12296,7388,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,1,0,0,0,0,0,1,0,TRUE,0,0,0,1,2,0,0,1,0,0,1,0,0,TRUE,0,0,0,0,0,0,1,0,1,0,0,0
12/10/2016,Anchorage/Mat-Su Qualifier II,Alaksa,Qualifying Tournament,1,1,12,7298,3480,0,5394,11168,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,1,0,3,0,0,3,0,3,0,0,0,0,0,TRUE,2,0,0,3,4,6,0,0,0,0,0,0
12/10/2016,Anchorage/Mat-Su Qualifier II,Alaksa,Qualifying Tournament,1,1,13,6112,10610,0,8539,12234,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,0,0,4,0,0,2,0,0,1,0,0,FALSE,0,0,0,0,0,0,0,0,1,0,0,0
12/10/2016,Anchorage/Mat-Su Qualifier II,Alaksa,Qualifying Tournament,1,1,14,12296,9781,0,3480,5394,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,1,0,1,0,0,0,0,0,0,0,0,0,0,TRUE,0,0,0,1,4,7,0,0,0,0,0,0
12/10/2016,Anchorage/Mat-Su Qualifier II,Alaksa,Qualifying Tournament,1,1,15,10610,7298,0,6695,9180,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,0,0,2,0,0,0,0,0,0,0,0,TRUE,1,0,0,3,2,0,0,1,0,0,0,0
12/10/2016,Anchorage/Mat-Su Qualifier II,Alaksa,Qualifying Tournament,1,1,16,4954,6112,0,7388,5532,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,1,0,2,0,1,0,0,0,0,0,0,TRUE,0,0,0,1,1,1,0,1,0,0,0,0
12/10/2016,Anchorage/Mat-Su Qualifier II,Alaksa,Qualifying Tournament,1,1,17,4955,8539,0,3492,11168,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,2,0,1,0,3,2,0,0,0,0,0,0,0,TRUE,2,0,1,0,1,4,0,0,0,0,0,0
12/10/2016,Anchorage/Mat-Su Qualifier II,Alaksa,Qualifying Tournament,1,1,18,12234,6112,0,3480,6695,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,1,TRUE,0,1,0,3,3,0,1,0,0,0,0,0,0,TRUE,1,0,0,3,1,3,0,0,0,0,0,0
12/10/2016,Anchorage/Mat-Su Qualifier II,Alaksa,Qualifying Tournament,1,1,19,4955,5532,0,12296,7298,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,2,0,0,0,2,1,0,0,0,0,0,0,0,FALSE,0,0,0,0,2,0,0,0,0,0,0,0
12/10/2016,Anchorage/Mat-Su Qualifier II,Alaksa,Qualifying Tournament,1,1,20,11168,7388,0,10610,9781,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,1,0,0,0,3,5,0,3,0,0,0,0,0,TRUE,1,0,0,0,1,0,0,0,0,0,0,0
12/10/2016,Anchorage/Mat-Su Qualifier II,Alaksa,Qualifying Tournament,1,1,21,5394,9180,0,3492,4954,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,2,0,3,1,3,0,0,0,0,0,0,0,0,TRUE,0,0,0,1,1,0,0,2,0,0,0,0
12/10/2016,Anchorage/Mat-Su Qualifier II,Alaksa,Qualifying Tournament,1,1,22,8539,5532,0,9781,6695,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,1,TRUE,0,0,0,1,1,2,0,0,0,0,0,0,0,TRUE,1,0,0,1,3,0,0,1,0,0,0,0
12/10/2016,Anchorage/Mat-Su Qualifier II,Alaksa,Qualifying Tournament,1,3,11,11168,3480,0,5532,3492,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,3,0,1,0,4,4,0,3,0,0,0,0,0,TRUE,0,0,1,3,0,2,0,0,0,0,0,0
12/10/2016,Anchorage/Mat-Su Qualifier II,Alaksa,Qualifying Tournament,1,3,12,11168,3480,0,5532,3492,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,1,TRUE,2,0,0,1,2,7,0,3,0,0,0,0,0,TRUE,1,0,0,1,2,1,0,0,0,0,0,0
12/10/2016,Anchorage/Mat-Su Qualifier II,Alaksa,Qualifying Tournament,1,3,21,9180,4955,0,5394,10610,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,2,0,3,0,2,1,0,0,0,0,0,0,0,TRUE,0,0,1,0,2,0,0,0,0,0,0,0
12/10/2016,Anchorage/Mat-Su Qualifier II,Alaksa,Qualifying Tournament,1,3,22,9180,4955,0,5394,10610,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,3,0,2,1,0,0,0,0,0,0,0,TRUE,0,0,1,0,2,0,0,0,0,0,0,0
12/10/2016,Anchorage/Mat-Su Qualifier II,Alaksa,Qualifying Tournament,1,4,1,11168,3480,0,9180,4955,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,3,0,0,0,2,4,0,0,0,0,0,0,0,FALSE,2,0,1,3,2,0,0,0,0,0,0,0
12/10/2016,Anchorage/Mat-Su Qualifier II,Alaksa,Qualifying Tournament,1,4,2,11168,3480,0,9180,4955,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,2,0,0,1,1,3,0,0,0,1,0,0,0,FALSE,0,0,3,1,3,3,0,0,0,0,0,1
12/10/2016,Anchorage/Mat-Su Qualifier II,Alaksa,Qualifying Tournament,1,4,3,11168,3480,0,9180,4955,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,1,0,0,0,3,0,0,0,0,0,0,0,0,TRUE,1,0,1,3,1,3,0,0,0,0,0,0
12/3/2016,Flagstaff FIRST Tech Challenge Qualifying Tournament,Arizona,Qualifying Tournament,1,1,1,12244,11644,0,6900,11529,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,0,0,0,0,1,0,0,0,0,0,0,0,0,TRUE,0,0,2,0,0,0,0,0,0,0,0,0
12/3/2016,Flagstaff FIRST Tech Challenge Qualifying Tournament,Arizona,Qualifying Tournament,1,1,2,8081,7167,0,11701,8995,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,TRUE,0,0,1,0,4,2,0,0,0,0,0,0
12/3/2016,Flagstaff FIRST Tech Challenge Qualifying Tournament,Arizona,Qualifying Tournament,1,1,3,8570,8995,0,11430,12244,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,1,TRUE,0,0,1,3,4,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,0,0,1,0,0,0,0,0
12/3/2016,Flagstaff FIRST Tech Challenge Qualifying Tournament,Arizona,Qualifying Tournament,1,1,4,11644,11701,0,8081,8570,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,0,0,2,0,1,1,1,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,1,0
12/3/2016,Flagstaff FIRST Tech Challenge Qualifying Tournament,Arizona,Qualifying Tournament,1,1,5,6900,11430,0,7167,11529,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,0,0,2,0,0,0,0,0,0,0,0,TRUE,0,0,2,0,1,0,0,0,0,0,0,0
12/3/2016,Flagstaff FIRST Tech Challenge Qualifying Tournament,Arizona,Qualifying Tournament,1,1,6,7167,8995,0,11529,8570,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,1,0,0,1,0,0,1,1,FALSE,0,0,0,0,4,0,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0
12/3/2016,Flagstaff FIRST Tech Challenge Qualifying Tournament,Arizona,Qualifying Tournament,1,1,7,11701,12244,0,11644,11430,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,0,0,1,0,3,0,0,0,0,0,0,FALSE,0,0,0,0,3,0,0,0,0,0,0,0
12/3/2016,Flagstaff FIRST Tech Challenge Qualifying Tournament,Arizona,Qualifying Tournament,1,1,8,6900,12244,0,8081,11701,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,0,0,0,0,3,0,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,2,1,0,0,0,0
