01/21/2017,California SD Boys and Girls Club,California SD,Qualifying Tournament,1,casd,bg,x,casd-bg,CA,R
01/22/2017,California SD Pacific Ridge,California SD,Qualifying Tournament,1,casd,pr,x,casd-pr,CA,R
01/22/2017,California SD Master Dei,California SD,Qualifying Tournament,1,casd,md,x,casd-md,CA,R
11/12/2016,Hawaii Le Jardin,Hawaii,Qualifying Tournament,1,hi,lj,x,hi-lj,HI,D
11/26/2016,Hawaii Mililani,Hawaii,Qualifying Tournament,1,hi,mi,x,hi-mi,HI,D
01/21/2017,Louisiana New Orleans,Louisiana,Qualifying Tournament,1,la,no,x,la-no,LA,R
11/12/2016,Minnesota Eagan,Minnesota,Qualifying Tournament,1,mn,ea,x,mn-ea,MN,R
11/19/2016,Minnesota Eden Prairie 1,Minnesota,Qualifying Tournament,1,mn,ep1,x,mn-ep1,MN,R
11/20/2016,Minnesota Eden Prairie 2,Minnesota,Qualifying Tournament,1,mn,ep2,x,mn-ep2,MN,R
12/03/2016,Minnesota Columbia Academy 1,Minnesota,Qualifying Tournament,1,mn,ca1,x,mn-ca1,MN,R
12/04/2016,Minnesota Columbia Academy 2,Minnesota,Qualifying Tournament,1,mn,ca2,x,mn-ca2,MN,R
12/10/2016,Minnesota Burnsville 1,Minnesota,Qualifying Tournament,1,mn,bu1,x,mn-bu1,MN,R
12/11/2016,Minnesota Burnsville 2,Minnesota,Qualifying Tournament,1,mn,bu2,x,mn-bu2,MN,R
01/14/2017,Minnesota St. Peter 1,Minnesota,Qualifying Tournament,1,mn,sp1,x,mn-sp1,MN,R
01/15/2017,Minnesota St. Peter 2,Minnesota,Qualifying Tournament,1,mn,sp2,x,mn-sp2,MN,R
01/21/2017,Minnesota North Branch 1,Minnesota,Qualifying Tournament,1,mn,nb1,x,mn-nb1,MN,R
01/22/2017,Minnesota North Branch 2,Minnesota,Qualifying Tournament,1,mn,nb2,x,mn-nb2,MN,R
02/10/2017,Minnesota Championship,Minnesota,Qualifying Tournament,1,mn,cmp,x,mn-cmp,MN,R
01/14/2017,North Carolina Raleigh,North Carolina,Qualifying Tournament,1,nc,ra,x,nc-ra,NC,R
