TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,
1617velv-midet,8531,GA Bots,1,9,105,100,5,WC,0.90,53.4,47.7,
1617velv-midet,12113,Armadillo Pups,2,9,70,100,5,SC,0.90,24.5,23.3,
1617velv-midet,9572,ChatterBolts,3,8,135,100,5,W1,0.80,46.2,40.6,
1617velv-midet,11432,SAY Play Warriors 1,4,8,67,80,5,FC,0.80,22.9,22.5,
1617velv-midet,10210,Aztechs,5,7,55,45,5,SC,0.70,1.6,5.9,
1617velv-midet,12095,S.T.E.M Warriors,6,6,75,35,5,S1,0.60,14.4,12.8,
1617velv-midet,11176,Panthers,7,6,55,100,5,,0.60,18.4,19.3,
1617velv-midet,8377,Munger Mechanical Lions,8,6,47,50,5,,0.60,24.0,22.2,
1617velv-midet,10280,TechnoLions,9,5,37,45,5,F1,0.50,5.5,7.1,
1617velv-midet,9352,Holbrook Hawks,10,4,95,40,5,,0.40,3.4,5.9,
1617velv-midet,12177,Transformers-Mark Twain DPSCD,11,4,77,56,5,S1,0.40,9.7,11.8,
1617velv-midet,12112,GCMS Circuit Breakers,12,4,70,40,5,,0.40,12.7,12.5,
1617velv-midet,11438,SAY Play Warriors 2,13,3,120,45,5,,0.30,24.3,21.1,
1617velv-midet,11726,Hack 29th St.,14,2,100,75,5,,0.20,10.8,12.4,
1617velv-midet,11013,AHCS Cougars,15,2,75,35,5,,0.20,4.1,6.1,
1617velv-midet,10856,UPAIR,16,1,65,40,5,,0.10,-0.9,2.0,
1617velv-midet,8376,Team TACO,17,0,35,15,5,,0.00,-1.3,0.4,
