TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,
1617velv-mipe,9221,Nerd Herd,1,10,176,120,5,WC,1.00,53.5,47.7,
1617velv-mipe,8487,Robo Toasters Orange,2,8,205,90,5,SC,0.80,57.3,48.6,
1617velv-mipe,11708,Calumet Cyborgs,3,8,180,80,5,FC,0.80,22.8,23.5,
1617velv-mipe,10040,Robotic Narwhals,4,8,150,115,5,SC,0.80,33.8,31.7,
1617velv-mipe,10474,Artificial Intellegence,5,8,131,115,5,F1,0.80,47.9,42.8,
1617velv-mipe,7837,The Thunder Colts,6,8,115,120,5,W1,0.80,50.2,44.8,
1617velv-mipe,8621,G3: Geeks Gears & Gadgets Blue,7,8,96,85,5,S1,0.80,6.2,11.0,
1617velv-mipe,11276,Dream Machine,8,8,70,72,5,S1,0.80,11.0,15.5,
1617velv-mipe,11717,Baker Bobcats,9,6,140,90,5,,0.60,38.8,34.9,
1617velv-mipe,10108,N.I.T.,10,6,136,75,5,,0.60,25.0,25.6,
1617velv-mipe,11885,The Robotic Lakers,11,6,101,60,5,S2,0.60,6.1,9.9,
1617velv-mipe,11735,Robo Toasters Blue,12,4,155,85,5,W2,0.40,27.9,27.6,
1617velv-mipe,10062,Robogators,13,4,150,90,5,F2,0.40,24.2,23.5,
1617velv-mipe,12255,Rudyard Steampunks,14,4,102,60,5,S2,0.40,16.6,16.2,
1617velv-mipe,10124,Trial and Error,15,4,55,50,5,,0.40,-4.4,1.9,
1617velv-mipe,10041,Blackrock Bots,16,2,180,80,5,,0.20,22.5,21.1,
1617velv-mipe,5954,Lightning Boltz,17,2,165,100,5,,0.20,17.5,19.2,
1617velv-mipe,5976,Brandon Tech,18,2,150,90,5,,0.20,4.7,10.9,
1617velv-mipe,11861,The Yooper Troopers,19,2,81,30,5,,0.20,-1.1,3.0,
1617velv-mipe,12075,Menominee Jr High,20,2,60,46,5,,0.20,10.3,8.9,
1617velv-mipe,10723,SnowBots,21,0,150,35,5,,0.00,25.9,23.4,
1617velv-mipe,5411,G3 Geeks Gears and Gadgets Green,22,0,100,35,5,,0.00,2.9,6.3,
