TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,
1617velv-migl,11691,Scripps Dragons,1,10,330,110,5,WC,1.00,64.0,58.3,
1617velv-migl,6294,Bionic Bots,2,10,200,135,5,FC,1.00,42.5,39.8,
1617velv-migl,10309,TechnoHuskies,3,10,186,115,5,SC,1.00,55.8,51.1,
1617velv-migl,8533,CSPA Miners,4,8,311,125,5,SC,0.80,64.3,55.9,
1617velv-migl,5957,Sonic Eagles,5,8,254,135,5,F1,0.80,69.9,64.1,
1617velv-migl,10653,SASA DRAGATRONS,6,8,178,120,5,S2,0.80,37.5,38.3,
1617velv-migl,11933,Lock Jaw,7,8,112,63,5,,0.80,12.5,16.9,
1617velv-migl,10484,Cyber Knights,8,8,103,80,5,,0.80,14.4,16.9,
1617velv-migl,10180,Stein,9,8,75,130,5,,0.80,41.9,38.5,
1617velv-migl,9931,Maelstrom,10,6,264,100,5,F2,0.60,42.9,40.3,
1617velv-migl,8593,No Limits,11,6,262,125,5,S1,0.60,38.2,38.8,
1617velv-migl,5290,Steel Eagles,12,6,222,115,5,W1,0.60,50.5,46.3,
1617velv-migl,8240,RoboHawks,13,6,163,55,5,,0.60,16.6,17.8,
1617velv-migl,10779,Short Circuit Spartans,14,6,123,80,5,,0.60,23.8,23.4,
1617velv-migl,8239,Vicious Vassar Vulcans,15,6,123,72,5,,0.60,19.6,21.7,
1617velv-migl,10601,Calvary Baptist Academy,16,6,102,80,5,,0.60,25.7,25.0,
1617velv-migl,8369,Tigers Robotics,17,4,198,95,5,S2,0.40,40.9,35.8,
1617velv-migl,11767,Meridian Jr. Mustangs,18,4,198,70,5,,0.40,12.0,16.0,
1617velv-migl,11244,Fierce Avengers,19,4,177,119,5,,0.40,42.9,38.1,
1617velv-migl,10202,Reese Rockets Middle School Robotics,20,4,170,100,5,,0.40,20.9,21.2,
1617velv-migl,10297,to be determined,21,4,142,41,5,,0.40,-3.6,3.6,
1617velv-migl,12184,RoboCreek,22,4,130,50,5,,0.40,13.8,13.7,
1617velv-migl,10805,MicroCreek,23,4,121,92,5,,0.40,18.2,18.9,
1617velv-migl,11932,Tech Dogs,24,4,103,119,5,,0.40,25.0,25.2,
1617velv-migl,10757,Bluewaves,25,4,51,75,5,,0.40,13.7,13.6,
1617velv-migl,9020,iCreek,26,4,23,90,5,,0.40,11.8,13.7,
1617velv-migl,9720,Whittemore-Prescott Jr. Robocards,27,2,210,80,5,,0.20,26.9,25.9,
1617velv-migl,5386,Fabricators,28,2,184,60,5,,0.20,24.7,23.8,
1617velv-migl,10844,Wildbots,29,2,175,95,5,,0.20,15.6,17.0,
1617velv-migl,10699,Purple Robotics Dragons,30,2,153,106,5,,0.20,11.2,13.4,
1617velv-migl,10438,Ein,31,2,117,47,5,,0.20,9.3,12.8,
1617velv-migl,6134,Black Frogs,32,2,106,45,5,W2,0.20,10.9,12.0,
1617velv-migl,10615,Jefferson CyDogs,33,2,68,43,5,S1,0.20,1.0,3.9,
1617velv-migl,10698,WMS Warriors,34,0,80,30,5,,0.00,-3.4,1.7,
1617velv-migl,10713,White Pine RoboHawks,35,0,75,45,5,,0.00,-5.7,-0.2,
